factura_id,company_id,periodo,monto_facturado,dias_mora,deuda_actual
194,9,2,4307.89,8,22511.71
195,9,3,31379.35,5,49383.12
196,9,4,8033.67,4,34372.12
197,9,5,46619.54,5,39750.8
198,9,6,4885.24,5,32824.23
199,9,7,59514.6,8,23703.85
200,9,8,55729.21,8,21772.23
201,9,9,42696.13,4,6659.1
202,9,10,51317.03,8,38587.32
203,9,11,29566.19,0,9547.93
204,9,12,46634.46,8,4074.98
205,9,13,7305.72,8,29710.89
206,9,14,1740.66,7,27019.45
207,9,15,47400.98,6,23621.12
208,9,16,32093.72,2,12211.48
209,9,17,43661.38,0,49527.53
210,9,18,8796.3,0,23913.68
211,9,19,16921.42,5,26119.74
212,9,20,13028.95,2,25314.55
213,9,21,56715.43,7,46188.91
214,9,22,25336.48,8,23494.95
215,9,23,23942.63,0,15364.68
216,9,24,53214.28,0,42311.29
217,10,1,48806.93,0,43962.25
218,10,2,59507.58,0,7920.52
219,10,3,42925.81,0,5082.08
220,10,4,8864.28,1,19900.6
221,10,5,39457.87,2,6656.48
222,10,6,11368.91,3,48582.0
223,10,7,3475.52,2,43054.06
224,10,8,16032.2,6,41692.61
225,10,9,27500.65,2,39277.32
226,10,10,15489.26,8,44381.07
227,10,11,11046.4,8,22687.48
228,10,12,5757.75,3,19024.61
229,10,13,49708.97,0,24893.15
230,10,14,19330.09,9,19013.29
231,10,15,3568.47,1,30292.5
232,10,16,35315.69,5,11530.83
233,10,17,51564.31,4,41142.09
234,10,18,12076.21,8,10198.92
235,10,19,56216.68,6,48343.28
236,10,20,11275.83,2,6242.41
237,10,21,31132.39,2,47475.18
238,10,22,21166.25,6,46439.27
239,10,23,54155.84,8,43114.83
240,10,24,28878.74,5,17303.63
241,11,1,24403.41,2,42874.09
242,11,2,42631.17,8,6342.22
243,11,3,6353.4,5,36374.12
244,11,4,20703.24,1,24316.61
245,11,5,30348.54,9,14973.27
246,11,6,58956.99,4,20755.85
247,11,7,51405.49,3,46113.63
248,11,8,22838.35,3,15041.55
249,11,9,56444.43,6,39794.0
250,11,10,35501.3,7,12692.72
251,11,11,12997.92,0,29440.74
252,11,12,49392.3,5,23409.22
253,11,13,58897.05,5,16346.56
254,11,14,49770.29,5,39087.44
255,11,15,47908.14,7,48415.64
256,11,16,28222.29,2,27952.39
257,11,17,7403.5,9,34418.95
258,11,18,46080.14,8,4940.28
259,11,19,2602.53,3,18818.82
260,11,20,5118.34,3,13208.2
261,11,21,58674.36,0,30123.7
262,11,22,47854.25,0,43864.22
263,11,23,18459.42,5,13484.14
264,11,24,5038.6,1,33132.11
265,12,1,46533.03,0,10014.93
266,12,2,35055.88,3,2337.07
267,12,3,24408.13,4,28688.53
268,12,4,36468.39,3,26753.14
269,12,5,38981.56,5,4359.57
270,12,6,29132.36,7,36274.17
271,12,7,28873.64,7,17973.1
272,12,8,7726.67,9,10526.11
273,12,9,29917.35,4,39849.91
274,12,10,43548.43,2,12288.1
275,12,11,38552.52,7,23081.47
276,12,12,24972.7,9,19633.04
277,12,13,12599.07,8,1926.92
278,12,14,47922.08,3,37097.73
279,12,15,59973.81,6,42903.35
280,12,16,25947.44,5,15170.37
281,12,17,12321.13,3,21132.87
282,12,18,37080.63,9,4084.09
283,12,19,54205.99,9,292.14
284,12,20,13902.79,5,44250.42
285,12,21,55496.4,6,13114.82
286,12,22,57587.67,6,33428.88
287,12,23,46685.29,3,44020.95
288,12,24,59236.18,5,11821.14
289,13,1,17232.71,7,12802.72
290,13,2,11845.68,8,31343.81
291,13,3,22665.71,8,19177.37
292,13,4,23970.38,2,38346.23
293,13,5,8283.11,3,44426.6
294,13,6,17352.88,9,33774.53
295,13,7,2934.67,4,3039.09
296,13,8,40093.83,1,31101.05
297,13,9,43069.84,9,3600.21
298,13,10,52751.55,1,11361.47
299,13,11,25956.85,1,11527.81
300,13,12,58696.81,1,12916.25
301,13,13,46954.54,1,42257.39
302,13,14,39247.2,9,1091.33
303,13,15,47466.35,3,20245.6
304,13,16,37384.17,2,6548.62
305,13,17,32132.2,8,12246.7
306,13,18,17230.58,3,1259.99
307,13,19,27539.0,0,14496.85
308,13,20,17162.15,0,3900.38
309,13,21,26523.19,4,4947.26
310,13,22,55401.65,0,20924.68
311,13,23,54737.27,5,22682.67
312,13,24,15093.53,7,36123.99
313,14,1,44454.42,5,23068.75
314,14,2,25428.4,2,18762.82
315,14,3,53446.07,1,21309.37
316,14,4,47233.52,6,23767.74
317,14,5,4245.52,4,14817.88
318,14,6,30267.93,2,24335.98
319,14,7,42738.96,8,9385.15
320,14,8,24337.1,8,25107.63
321,14,9,51629.7,0,32198.04
322,14,10,43013.38,1,47994.72
323,14,11,28347.61,7,28817.71
324,14,12,18392.9,8,26535.78
325,14,13,46812.48,8,17671.18
326,14,14,31572.35,2,24942.63
327,14,15,29812.16,5,28860.52
328,14,16,23398.38,9,41798.11
329,14,17,52495.38,7,14062.61
330,14,18,20184.3,6,31181.92
331,14,19,6700.91,5,18147.61
332,14,20,1136.8,2,7201.31
333,14,21,33481.39,1,36802.85
334,14,22,49742.35,5,27757.85
335,14,23,16108.32,6,42037.05
336,14,24,28917.95,5,49273.05
337,15,1,3671.9,0,46827.29
338,15,2,24269.97,7,451.64
339,15,3,19798.94,0,11934.41
340,15,4,26686.2,3,44014.16
341,15,5,39941.38,3,36828.09
342,15,6,58171.69,0,648.52
343,15,7,24369.96,3,13224.81
344,15,8,7689.41,5,38504.26
345,15,9,11915.06,6,45780.65
346,15,10,10984.68,1,40344.51
347,15,11,54556.75,0,9666.48
348,15,12,48529.54,5,12388.53
349,15,13,24237.05,8,7428.27
350,15,14,51929.3,0,2284.98
351,15,15,52760.2,2,23827.37
352,15,16,15773.32,6,26580.93
353,15,17,53983.61,6,41042.03
354,15,18,13208.52,5,33124.49
355,15,19,38092.65,0,8481.13
356,15,20,59582.64,0,16743.65
357,15,21,2548.6,2,29123.85
358,15,22,9983.22,0,15626.33
359,15,23,7784.66,5,4689.79
360,15,24,31206.18,3,19934.93
361,16,1,32383.18,4,11254.4
362,16,2,58768.71,2,42766.27
363,16,3,25403.98,2,38542.88
364,16,4,26472.06,3,22178.39
365,16,5,35403.49,6,5426.53
366,16,6,11560.07,7,35560.11
367,16,7,49641.83,4,31840.84
368,16,8,59495.54,9,1762.72
369,16,9,6655.9,3,31165.99
370,16,10,5028.8,0,4515.57
371,16,11,55313.08,5,7797.24
372,16,12,21698.77,3,4663.17
373,16,13,37448.63,5,23677.69
374,16,14,40954.26,2,12821.44
375,16,15,38385.24,3,44596.76
376,16,16,58131.73,7,44710.01
377,16,17,49414.32,5,36018.29
378,16,18,12112.2,1,16925.21
379,16,19,57935.45,1,31258.32
380,16,20,11253.39,1,35043.99
381,16,21,44459.71,9,4527.0
382,16,22,46856.03,8,35797.93
383,16,23,5298.7,1,12299.48
384,16,24,37869.62,3,2508.3
385,17,1,28654.63,2,8723.43
386,17,2,2427.45,1,4870.96
387,17,3,17540.73,0,43138.99
388,17,4,45495.56,5,18184.49
389,17,5,26120.3,6,11851.37
390,17,6,27170.75,9,24071.33
391,17,7,44304.19,9,42383.94
392,17,8,57465.76,3,19769.69
393,17,9,5956.55,8,18243.36
394,17,10,54720.99,7,38506.11
395,17,11,39982.42,8,19188.08
396,17,12,23844.46,1,35595.17
397,17,13,54872.56,9,20583.62
398,17,14,1768.41,7,29744.16
399,17,15,48811.32,0,12418.24
400,17,16,21871.27,1,29447.24
401,17,17,3833.95,5,9630.75
402,17,18,59062.25,4,4185.7
403,17,19,6295.3,2,45716.63
404,17,20,11666.53,3,43376.32
405,17,21,39148.15,0,9736.65
406,17,22,31641.09,4,25673.14
407,17,23,34629.89,6,9409.26
408,17,24,7196.7,1,40863.35
409,18,1,49886.57,5,14697.28
410,18,2,25702.68,7,32271.95
411,18,3,28775.02,1,3532.3
412,18,4,15159.45,9,35051.5
413,18,5,58945.35,5,19713.82
414,18,6,16794.89,2,35260.29
415,18,7,12135.17,1,12218.69
416,18,8,21689.1,4,23331.63
417,18,9,55566.88,1,47734.96
418,18,10,30165.08,6,22706.17
419,18,11,43291.99,9,46453.59
420,18,12,39061.15,7,25104.15
421,18,13,11279.73,1,13729.05
422,18,14,58607.88,5,39043.79
423,18,15,50937.74,1,8646.34
424,18,16,34491.46,3,19956.36
425,18,17,9080.94,8,23376.85
426,18,18,34780.61,9,33090.09
427,18,19,17783.64,9,18774.47
428,18,20,36386.94,7,41030.0
429,18,21,37393.57,1,22761.71
430,18,22,35476.4,7,49975.66
431,18,23,45158.76,3,33622.79
432,18,24,35773.18,4,16165.27
433,19,1,49018.35,8,37965.14
434,19,2,35983.43,4,38049.49
435,19,3,55383.05,6,21474.82
436,19,4,6542.43,7,18217.49
437,19,5,21737.69,1,13507.86
438,19,6,53395.69,1,16808.81
439,19,7,58719.42,3,35752.31
440,19,8,16134.23,7,24230.89
441,19,9,47923.95,9,35854.32
442,19,10,12500.62,2,695.63
443,19,11,17162.89,7,6851.19
444,19,12,15691.98,2,34258.61
445,19,13,55788.17,4,32281.3
446,19,14,32749.89,0,21759.45
447,19,15,46618.5,2,35757.33
448,19,16,9706.81,4,42615.23
449,19,17,34444.45,3,891.57
450,19,18,55959.84,6,43411.63
451,19,19,42363.54,4,12069.09
452,19,20,56000.64,9,24939.69
453,19,21,51586.36,7,22677.79
454,19,22,33833.99,9,28287.94
455,19,23,55494.19,2,4595.09
456,19,24,17257.46,9,3428.35
457,20,1,31446.38,0,46819.94
458,20,2,2769.74,7,20968.83
459,20,3,22425.96,7,45858.66
460,20,4,44179.27,0,24758.71
461,20,5,47363.74,9,16140.89
462,20,6,46747.25,4,4867.88
463,20,7,5504.31,7,17736.68
464,20,8,47167.1,1,49419.57
465,20,9,30447.68,0,2537.5
466,20,10,29410.96,7,14853.54
467,20,11,1599.34,9,14402.02
468,20,12,32294.8,0,49233.38
469,20,13,3934.99,4,48220.03
470,20,14,3729.06,2,422.51
471,20,15,41835.34,6,39351.57
472,20,16,27174.04,2,6225.4
473,20,17,38033.25,3,11404.34
474,20,18,12615.64,9,1272.86
475,20,19,48269.02,9,10133.35
476,20,20,29600.88,3,43156.39
477,20,21,48486.9,8,38555.76
478,20,22,6459.47,6,1866.02
479,20,23,41089.49,3,48525.4
480,20,24,1700.35,3,2076.72
481,21,1,33090.98,1,1031.35
482,21,2,44616.66,4,35884.0
483,21,3,15037.71,6,14817.29
484,21,4,27578.64,6,16611.49
485,21,5,25464.29,5,26539.28
486,21,6,11299.44,2,47244.33
487,21,7,2614.26,5,30660.73
488,21,8,20221.08,0,29312.99
489,21,9,17112.98,0,16233.05
490,21,10,44220.09,9,39378.51
491,21,11,45438.1,0,45484.41
492,21,12,2967.92,8,29628.82
493,21,13,25068.83,9,17716.27
494,21,14,12252.56,0,28471.52
495,21,15,26803.23,0,6290.69
496,21,16,42617.52,1,41197.67
497,21,17,11256.91,1,44172.6
498,21,18,12944.86,1,37337.75
499,21,19,20742.88,4,15577.94
500,21,20,52280.77,7,39972.58
501,21,21,4042.84,2,13534.26
502,21,22,51595.18,6,5523.67
503,21,23,52945.39,8,21832.52
504,21,24,39831.8,2,2494.62
505,22,1,43177.1,8,38324.07
506,22,2,45742.36,4,21335.55
507,22,3,4428.75,38,35687.65
508,22,4,48439.1,9,7511.45
509,22,5,48717.23,9,49774.03
510,22,6,10252.7,1,43084.96
511,22,7,33879.53,65,48502.4
512,22,8,10476.04,100,16579.29
513,22,9,27362.14,9,21804.47
514,22,10,10854.52,2,29240.71
515,22,11,23212.02,5,25730.73
516,22,12,11074.63,47,34578.19
517,22,13,40284.86,31,29996.23
518,22,14,29472.57,71,34807.51
519,22,15,33227.77,8,48154.64
520,22,16,41495.46,0,12475.46
521,22,17,3859.76,26,25354.99
522,22,18,15359.18,86,44208.61
523,22,19,22127.03,2,7899.49
524,22,20,24613.34,57,12212.7
525,22,21,56377.12,34,32649.02
526,22,22,21284.33,0,5083.65
527,22,23,34519.62,92,47452.42
528,22,24,21798.03,2,38093.86
529,23,1,55061.35,2,16360.78
530,23,2,26292.18,2,18122.32
531,23,3,39887.76,0,41090.06
532,23,4,2379.39,0,31677.57
533,23,5,28321.22,6,28711.03
534,23,6,20827.81,5,28140.18
535,23,7,15620.7,7,20472.37
536,23,8,42270.53,1,22579.3
537,23,9,19019.05,4,17618.09
538,23,10,6230.46,4,24078.42
539,23,11,20727.02,0,17369.99
540,23,12,27652.51,7,28854.42
541,23,13,38738.9,0,7626.8
542,23,14,21198.89,4,21156.75
543,23,15,21763.01,3,45925.53
544,23,16,7066.18,9,17098.76
545,23,17,48659.63,4,10592.81
546,23,18,22254.06,0,46088.53
547,23,19,12122.44,6,19568.98
548,23,20,53310.65,4,13972.53
549,23,21,34592.59,5,44183.79
550,23,22,59626.91,3,7738.19
551,23,23,39775.34,8,36399.09
552,23,24,48048.31,1,43266.43
553,24,1,9900.04,3,25384.62
554,24,2,54856.32,9,19787.23
555,24,3,48310.7,6,40803.89
556,24,4,43377.02,8,35476.8
557,24,5,28632.3,1,6603.44
558,24,6,2327.43,4,17068.55
559,24,7,45525.59,0,43167.38
560,24,8,3176.43,4,32688.68
561,24,9,53964.59,0,20954.11
562,24,10,7528.02,5,44453.12
563,24,11,32003.84,1,43708.0
564,24,12,54956.3,9,5053.74
565,24,13,4094.99,1,39028.36
566,24,14,30172.91,1,47016.53
567,24,15,14626.89,9,28282.46
568,24,16,4519.92,4,24124.4
569,24,17,33602.62,2,27397.48
570,24,18,3417.11,0,34429.24
571,24,19,36700.77,1,16134.05
572,24,20,53954.54,9,26063.54
573,24,21,25229.47,7,15677.6
574,24,22,16367.61,1,8748.95
575,24,23,12517.95,1,901.99
576,24,24,40276.51,9,21047.71
577,25,1,24861.32,7,30876.3
578,25,2,29172.71,7,10991.77
579,25,3,30028.31,5,27815.34
580,25,4,50612.87,5,24814.05
581,25,5,42202.32,0,9794.44
582,25,6,58624.36,5,13255.44
583,25,7,53691.76,6,32307.2
584,25,8,43527.54,1,19403.01
585,25,9,21920.5,1,16788.2
586,25,10,6667.33,0,14954.41
587,25,11,22905.58,0,8138.24
588,25,12,11996.59,8,10219.4
589,25,13,29552.83,9,13454.64
590,25,14,32450.76,4,31825.07
591,25,15,4770.84,8,45857.57
592,25,16,20473.11,4,2498.96
593,25,17,6392.08,3,4375.81
594,25,18,59823.52,7,45977.58
595,25,19,25963.44,3,17271.99
596,25,20,37542.63,1,30177.84
597,25,21,37397.64,8,15597.96
598,25,22,32713.85,4,40763.02
599,25,23,21153.94,9,38045.34
600,25,24,23027.97,6,33857.28
601,26,1,45482.33,6,38177.52
602,26,2,18463.54,9,12377.58
603,26,3,43021.41,5,35672.1
604,26,4,19534.09,0,29298.89
605,26,5,55480.4,7,6380.71
606,26,6,36761.68,9,12740.37
607,26,7,38260.6,0,25205.25
608,26,8,54702.21,8,39339.96
609,26,9,21046.22,4,37056.34
610,26,10,41711.94,9,3406.6
611,26,11,57279.88,0,1025.25
612,26,12,31836.36,3,27733.47
613,26,13,32855.59,1,14431.97
614,26,14,11038.25,1,33341.56
615,26,15,46439.49,3,26601.53
616,26,16,41483.17,0,16344.98
617,26,17,26451.31,7,48547.46
618,26,18,3421.56,1,44966.38
619,26,19,26705.84,9,47695.18
620,26,20,32969.26,4,39743.56
621,26,21,6044.58,5,5635.39
622,26,22,23572.96,3,2011.99
623,26,23,53301.0,2,8563.73
624,26,24,27682.32,7,45437.36
625,27,1,20715.05,3,11429.46
626,27,2,52777.82,4,17151.37
627,27,3,52535.15,3,26127.47
628,27,4,5482.15,5,42183.84
629,27,5,2416.67,0,19420.2
630,27,6,20400.89,3,47132.04
631,27,7,8751.44,8,28258.73
632,27,8,39079.34,3,29982.08
633,27,9,29462.47,1,23568.64
634,27,10,39549.78,4,39033.13
635,27,11,7753.42,0,26938.5
636,27,12,44754.49,0,15014.09
637,27,13,16587.86,6,5006.35
638,27,14,27873.85,7,45205.7
639,27,15,41520.02,0,29671.68
640,27,16,54021.46,2,3022.8
641,27,17,28936.34,4,23336.6
642,27,18,13007.35,4,29332.77
643,27,19,40408.38,5,34434.77
644,27,20,50043.53,2,12492.87
645,27,21,6862.31,3,45949.92
646,27,22,32639.95,6,30530.1
647,27,23,28490.76,8,18027.32
648,27,24,37346.77,5,34801.33
649,28,1,36050.45,2,28150.16
650,28,2,26252.24,3,22343.36
651,28,3,6773.71,1,47219.64
652,28,4,44774.43,8,49516.14
653,28,5,57036.24,7,7508.84
654,28,6,27546.68,8,18929.43
655,28,7,4759.43,0,2382.77
656,28,8,38901.54,2,7431.36
657,28,9,1557.07,4,43327.48
658,28,10,24025.73,8,26047.42
659,28,11,26142.96,5,41401.51
660,28,12,9772.88,3,31657.89
661,28,13,24873.23,7,12831.82
662,28,14,40415.38,9,33790.4
663,28,15,38111.24,6,48932.18
664,28,16,38844.98,3,16571.32
665,28,17,4494.46,5,27790.57
666,28,18,5646.19,9,44657.3
667,28,19,36067.41,5,34342.45
668,28,20,50697.75,3,8914.53
669,28,21,7766.67,0,41362.15
670,28,22,58831.24,1,29010.89
671,28,23,16548.82,1,4011.57
672,28,24,11588.62,6,40833.51
673,29,1,40911.03,1,4335.77
674,29,2,36667.16,9,27259.26
675,29,3,39169.31,4,24257.18
676,29,4,13362.33,3,14442.66
677,29,5,6665.34,8,331.08
678,29,6,9044.08,7,25327.42
679,29,7,4280.51,9,2395.2
680,29,8,18389.8,9,35122.59
681,29,9,13186.9,1,16826.13
682,29,10,44061.87,2,19087.46
683,29,11,30790.67,4,31334.37
684,29,12,53386.59,3,39437.31
685,29,13,32808.08,8,2107.48
686,29,14,29614.45,7,8400.78
687,29,15,25237.87,4,34449.64
688,29,16,40055.79,6,26354.12
689,29,17,41033.55,8,37745.23
690,29,18,58880.46,9,36913.79
691,29,19,13276.08,6,9801.57
692,29,20,49570.33,9,38616.78
693,29,21,20500.26,5,6263.6
694,29,22,15974.69,4,45367.43
695,29,23,19516.6,8,23138.45
696,29,24,50193.44,2,17453.79
697,30,1,59318.1,0,25005.56
698,30,2,46974.05,1,21190.13
699,30,3,31606.76,9,5672.97
700,30,4,45882.3,0,25768.75
701,30,5,9534.66,9,29898.11
702,30,6,53485.98,7,16817.15
703,30,7,38225.64,5,10173.0
704,30,8,23788.45,9,23634.15
705,30,9,21282.11,4,44763.94
706,30,10,34187.06,0,38800.94
707,30,11,27717.86,2,40117.11
708,30,12,51167.41,2,27972.79
709,30,13,9950.22,0,30385.51
710,30,14,52601.31,8,48878.09
711,30,15,28409.96,0,4283.46
712,30,16,56483.0,5,38206.49
713,30,17,7688.38,3,4779.75
714,30,18,43823.01,5,30709.8
715,30,19,20900.24,2,22773.99
716,30,20,59850.01,0,45593.93
717,30,21,25552.51,6,5895.91
718,30,22,44949.35,8,4894.08
719,30,23,22384.71,1,353.88
720,30,24,6396.99,6,9418.88
721,31,1,20099.92,1,33075.64
722,31,2,32528.32,8,18192.34
723,31,3,31168.23,8,10782.66
724,31,4,20458.16,5,15199.1
725,31,5,55886.17,6,13953.11
726,31,6,3253.63,6,35009.3
727,31,7,8228.59,6,27380.63
728,31,8,11970.52,6,29395.16
729,31,9,49520.01,0,27490.9
730,31,10,32125.89,5,46299.85
731,31,11,22977.93,2,12355.72
732,31,12,43457.81,3,1671.41
733,31,13,12173.7,8,11423.16
734,31,14,6923.51,5,35317.81
735,31,15,56335.88,0,15538.08
736,31,16,57298.64,8,42629.15
737,31,17,29491.43,9,47401.11
738,31,18,33455.33,4,13837.78
739,31,19,35584.73,3,44888.89
740,31,20,22567.36,7,39800.73
741,31,21,54016.13,7,24552.5
742,31,22,5204.88,6,13078.98
743,31,23,42010.13,3,43554.98
744,31,24,55536.81,6,6849.18
745,32,1,7234.79,7,24194.41
746,32,2,22372.09,0,29337.98
747,32,3,7327.7,5,39181.67
748,32,4,27206.64,4,27516.75
749,32,5,11726.34,7,2083.17
750,32,6,23065.18,5,48289.14
751,32,7,54127.63,0,25178.75
752,32,8,26534.84,8,43324.79
753,32,9,36004.04,2,2753.59
754,32,10,57465.72,8,30507.66
755,32,11,1615.43,6,11837.08
756,32,12,22862.52,7,24692.23
757,32,13,2606.95,8,41308.87
758,32,14,52002.58,1,49586.03
759,32,15,45554.37,5,33904.8
760,32,16,26384.99,2,43888.25
761,32,17,43234.9,9,31138.15
762,32,18,46304.17,6,36840.07
763,32,19,7116.0,5,34673.65
764,32,20,8049.86,4,42809.27
765,32,21,54935.68,3,47436.76
766,32,22,56352.15,7,43619.22
767,32,23,21168.44,2,28425.36
768,32,24,41495.22,5,27842.51
769,33,1,24236.16,3,22260.59
770,33,2,49696.15,3,7102.76
771,33,3,1486.44,1,20012.6
772,33,4,57077.82,4,32393.7
773,33,5,27961.76,3,37946.85
774,33,6,20300.0,6,34682.3
