company_id,ruc,razon_social,sector,region,empleados,segmento,fecha_alta,ejecutivo_comercial,nps,csat
30,20158692322,Software Andes SAC,Tecnología,Ica,3189,Enterprise,21/04/2024,Ejecutivo_31,70,4.05
31,20634216073,Telecom Andes EIRL,Telecomunicaciones,Trujillo,6212,Enterprise,15/03/2016,Ejecutivo_32,72,4.21
32,20303654145,Manufactura Pacífico SAC,Manufactura,Arequipa,6684,Mid-Market,29/03/2017,Ejecutivo_33,80,4.81
33,20014294019,Academia Sur EIRL,Educación,Chiclayo,2513,Enterprise,10/10/2023,Ejecutivo_34,86,4.5
34,20693406088,Inversiones Inca SAC,Finanzas,Lima,1074,Enterprise,16/07/2020,Ejecutivo_35,83,4.7
35,20595148465,Clínica Inca SAC,Salud,Huancayo,5633,Enterprise,23/08/2024,Ejecutivo_36,54,4.71
36,20629946804,Retail Andes EIRL,Retail,Cajamarca,8130,Mid-Market,13/08/2020,Ejecutivo_37,62,4.6
37,20777387214,Farmacéutica Capital EIRL,Salud,Cajamarca,316,Mid-Market,4/01/2022,Ejecutivo_38,65,4.25
38,20433200379,Agroindustrial Perú SAC,Agroindustria,Lima,1208,SMB,19/06/2020,Ejecutivo_39,30,2.39
39,20676320163,Infraestructura Inca SAC,Construcción,Ica,8533,Mid-Market,17/10/2024,Ejecutivo_40,18,2.08
40,20172788957,Academia Perú SAC,Educación,Piura,5075,Enterprise,28/09/2019,Ejecutivo_41,90,3.96
41,20277434873,Academia Capital EIRL,Educación,Tacna,29,Enterprise,30/12/2018,Ejecutivo_42,81,4.18
42,20345581223,Industrial Sur EIRL,Manufactura,Arequipa,4307,Enterprise,14/04/2021,Ejecutivo_43,69,4.22
43,20658760366,Logística Perú EIRL,Transporte,Cusco,7549,SMB,9/09/2023,Ejecutivo_44,51,4.99
44,20705466889,Campos Perú EIRL,Agroindustria,Lima,6706,SMB,30/11/2018,Ejecutivo_45,99,4.53
45,20670656272,Farmacéutica Andes EIRL,Salud,Chiclayo,1435,Enterprise,7/04/2020,Ejecutivo_46,38,2.51
46,20162720465,Educativa Inca SAC,Educación,Chiclayo,6646,Enterprise,10/11/2019,Ejecutivo_47,96,4.18
47,20464170805,Manufactura Pacífico EIRL,Manufactura,Lima,1733,Enterprise,20/07/2018,Ejecutivo_48,59,3.94
48,20330923271,Constructora Capital SAC,Construcción,Cajamarca,3549,SMB,18/11/2021,Ejecutivo_49,33,2.82
49,20529912419,Farmacéutica Sur EIRL,Salud,Cusco,1532,Mid-Market,15/02/2024,Ejecutivo_50,91,4.2
50,20193149190,Distribuidora Inca SAC,Retail,Arequipa,8995,SMB,23/05/2024,Ejecutivo_1,97,4.36
51,20185067165,Academia Sur EIRL,Educación,Arequipa,1542,Mid-Market,28/01/2022,Ejecutivo_2,68,4.74
52,20284987769,Producción Andes EIRL,Manufactura,Arequipa,439,Enterprise,4/02/2016,Ejecutivo_3,91,3.76
53,20473799650,Capital Capital SAC,Finanzas,Chiclayo,1414,Mid-Market,17/12/2023,Ejecutivo_4,54,3.81
54,20545494808,Capital Inca SAC,Finanzas,Piura,8541,Enterprise,2/09/2020,Ejecutivo_5,76,4.75
55,20783777014,Ingeniería Sur EIRL,Construcción,Tacna,7874,SMB,19/11/2023,Ejecutivo_6,50,4.21
56,20957885685,Networks Andes EIRL,Telecomunicaciones,Cajamarca,4051,Enterprise,11/06/2017,Ejecutivo_7,93,4.78
57,20313518233,Manufactura Pacífico EIRL,Manufactura,Lima,9594,SMB,16/01/2025,Ejecutivo_8,56,4.88
58,20134352408,Manufactura Sur EIRL,Manufactura,Trujillo,1876,SMB,3/05/2025,Ejecutivo_9,52,4.54
59,20271094777,Comercial Perú EIRL,Retail,Tacna,2265,Enterprise,18/08/2022,Ejecutivo_10,6,1.47
60,20116719022,Transportes Pacífico EIRL,Transporte,Lima,6399,Mid-Market,16/07/2017,Ejecutivo_11,88,4.91
61,20186999386,Agroindustrial Perú SAC,Agroindustria,Chiclayo,1811,SMB,11/10/2023,Ejecutivo_12,69,3.73
62,20499091334,Manufactura Capital EIRL,Manufactura,Cusco,1648,SMB,27/05/2018,Ejecutivo_13,88,4.29
63,20812067974,Ingeniería Andes SAC,Construcción,Huancayo,3308,Enterprise,30/10/2021,Ejecutivo_14,79,3.58
64,20713493618,Clínica Sur EIRL,Salud,Tacna,3961,Enterprise,13/02/2020,Ejecutivo_15,92,3.62
65,20102499471,Cargo Capital SAC,Transporte,Chiclayo,7241,Enterprise,21/11/2020,Ejecutivo_16,31,2.34
66,20719065940,Distribuidora Pacífico EIRL,Retail,Tacna,5823,SMB,18/07/2024,Ejecutivo_17,68,4.3
67,20902787429,Salud Capital EIRL,Salud,Trujillo,8596,Mid-Market,6/02/2021,Ejecutivo_18,68,3.9
68,20655125674,Industrial Inca EIRL,Manufactura,Trujillo,6374,Enterprise,8/09/2021,Ejecutivo_19,86,4.02
69,20154516808,Networks Perú EIRL,Telecomunicaciones,Lima,2265,Mid-Market,19/05/2021,Ejecutivo_20,66,3.54
70,20977034824,Telecom Andes EIRL,Telecomunicaciones,Ica,3751,SMB,29/07/2018,Ejecutivo_21,71,4.47
71,20248086131,Industrial Perú SAC,Manufactura,Arequipa,1313,SMB,26/12/2018,Ejecutivo_22,84,3.58
72,20846773782,Ingeniería Inca EIRL,Construcción,Cusco,8355,Enterprise,17/02/2023,Ejecutivo_23,29,1.5
73,20465840449,Medical Capital SAC,Salud,Cusco,629,Enterprise,28/03/2023,Ejecutivo_24,78,3.59
74,20558867533,Industrial Inca EIRL,Manufactura,Tacna,7330,Mid-Market,22/07/2023,Ejecutivo_25,91,4.2
75,20057662702,Telecom Capital EIRL,Telecomunicaciones,Trujillo,7292,SMB,23/11/2021,Ejecutivo_26,54,4.65
76,20718702621,Agroindustrial Capital SAC,Agroindustria,Lima,2811,Mid-Market,25/12/2020,Ejecutivo_27,92,3.83
77,20158657809,Market Norte EIRL,Retail,Trujillo,873,Enterprise,27/08/2023,Ejecutivo_28,59,4.59
78,20611724005,Clínica Andes SAC,Salud,Arequipa,7379,Enterprise,17/06/2023,Ejecutivo_29,97,4.22
79,20623869222,Software Pacífico EIRL,Tecnología,Huancayo,7912,SMB,15/02/2016,Ejecutivo_30,86,4.6
80,20792374740,Agroindustrial Norte SAC,Agroindustria,Huancayo,1303,SMB,13/04/2017,Ejecutivo_31,93,4.33
81,20175946474,Manufactura Sur SAC,Manufactura,Huancayo,5886,Mid-Market,21/10/2019,Ejecutivo_32,59,3.91
82,20695944064,Comunicaciones Perú SAC,Telecomunicaciones,Lima,7172,SMB,23/01/2020,Ejecutivo_33,74,4.76
83,20974395339,Campos Capital SAC,Agroindustria,Ica,4842,Mid-Market,27/05/2024,Ejecutivo_34,99,3.63
84,20470952145,Transportes Sur SAC,Transporte,Huancayo,1353,SMB,20/05/2021,Ejecutivo_35,78,3.92
85,20858842474,Telecom Andes SAC,Telecomunicaciones,Trujillo,717,Mid-Market,22/07/2020,Ejecutivo_36,9,1.47
86,20236851604,Finanzas Inca SAC,Finanzas,Trujillo,705,SMB,22/10/2020,Ejecutivo_37,34,2.16
87,20965137098,Infraestructura Pacífico EIRL,Construcción,Trujillo,3896,Mid-Market,4/03/2024,Ejecutivo_38,59,4.53
88,20746120047,Agro Sur SAC,Agroindustria,Chiclayo,3071,Mid-Market,22/07/2020,Ejecutivo_39,77,3.69
89,20675869261,Ingeniería Norte SAC,Construcción,Chiclayo,4750,SMB,24/10/2021,Ejecutivo_40,78,4.4
90,20053773515,Producción Inca EIRL,Manufactura,Lima,9109,Mid-Market,27/07/2024,Ejecutivo_41,91,4.27
91,20317139005,Finanzas Inca EIRL,Finanzas,Ica,2454,Enterprise,13/11/2024,Ejecutivo_42,77,4.09
92,20933529042,Logística Perú SAC,Transporte,Ica,2311,SMB,3/06/2016,Ejecutivo_43,13,1.72
93,20102053950,Academia Capital SAC,Educación,Trujillo,8316,Mid-Market,26/08/2019,Ejecutivo_44,97,4.67
94,20811775891,Comercial Andes EIRL,Retail,Trujillo,2383,Enterprise,26/08/2023,Ejecutivo_45,97,3.78
95,20847007661,Educativa Norte SAC,Educación,Cusco,2850,SMB,18/04/2025,Ejecutivo_46,73,4.1
96,20921249985,Industrial Perú EIRL,Manufactura,Tacna,6984,Mid-Market,9/10/2018,Ejecutivo_47,94,4.01
97,20896118367,Campos Pacífico EIRL,Agroindustria,Piura,5597,Enterprise,9/03/2017,Ejecutivo_48,82,4.86
98,20661565452,Farmacéutica Pacífico EIRL,Salud,Lima,4124,Mid-Market,23/10/2019,Ejecutivo_49,58,3.77
99,20161528098,Industrial Perú SAC,Manufactura,Lima,777,SMB,6/01/2016,Ejecutivo_50,72,4.88
100,20604945198,Finanzas Inca EIRL,Finanzas,Chiclayo,3510,Mid-Market,28/03/2022,Ejecutivo_1,82,4.34
101,20585149368,Express Andes SAC,Transporte,Cusco,6252,Enterprise,1/09/2021,Ejecutivo_2,89,3.95
102,20940244550,Campos Sur SAC,Agroindustria,Tacna,7333,Mid-Market,19/03/2019,Ejecutivo_3,79,3.94
103,20018366752,Express Perú SAC,Transporte,Piura,1725,Mid-Market,29/03/2025,Ejecutivo_4,74,4.88
104,20022901476,Market Capital SAC,Retail,Lima,5052,SMB,2/11/2020,Ejecutivo_5,83,4.45
105,20381561497,Agroindustrial Inca EIRL,Agroindustria,Huancayo,9725,Enterprise,3/05/2017,Ejecutivo_6,60,4.43
106,20900343244,Comercial Andes EIRL,Retail,Chiclayo,4076,SMB,24/03/2023,Ejecutivo_7,61,3.99
107,20226838851,Constructora Inca EIRL,Construcción,Ica,2819,Enterprise,18/04/2016,Ejecutivo_8,7,2.33
108,20159696641,Systems Perú EIRL,Tecnología,Tacna,6095,Enterprise,30/01/2016,Ejecutivo_9,75,3.95
109,20516136968,Software Andes EIRL,Tecnología,Piura,4101,SMB,22/09/2019,Ejecutivo_10,10,1.18
110,20352181883,Comunicaciones Sur EIRL,Telecomunicaciones,Lima,9299,Mid-Market,20/01/2024,Ejecutivo_11,70,3.64
111,20312432921,Inversiones Sur SAC,Finanzas,Huancayo,547,Enterprise,24/06/2017,Ejecutivo_12,58,3.72
112,20995527177,Manufactura Capital EIRL,Manufactura,Huancayo,1712,Enterprise,22/06/2019,Ejecutivo_13,87,4.83
113,20581477005,Market Norte SAC,Retail,Lima,7552,Enterprise,18/08/2023,Ejecutivo_14,84,4.41
114,20998679807,Comercial Sur SAC,Retail,Piura,2404,SMB,16/04/2020,Ejecutivo_15,57,4.17
115,20978207151,Campos Andes EIRL,Agroindustria,Cusco,8778,SMB,10/08/2020,Ejecutivo_16,90,4
116,20788925546,Transportes Andes EIRL,Transporte,Ica,4831,SMB,8/12/2016,Ejecutivo_17,88,4.52
117,20151864492,Finanzas Capital EIRL,Finanzas,Trujillo,7202,SMB,1/01/2020,Ejecutivo_18,61,3.57
118,20629148652,Ingeniería Pacífico EIRL,Construcción,Chiclayo,7117,Mid-Market,3/08/2018,Ejecutivo_19,55,4.03
119,20850542357,Educativa Sur EIRL,Educación,Cusco,1506,Enterprise,5/06/2022,Ejecutivo_20,55,4.67
120,20418880592,Medical Andes SAC,Salud,Lima,8155,Mid-Market,29/08/2019,Ejecutivo_21,17,2.27
121,20927065379,Telecom Andes SAC,Telecomunicaciones,Ica,9473,Enterprise,10/03/2019,Ejecutivo_22,18,2.97
122,20473597746,Industrial Norte SAC,Manufactura,Trujillo,9900,Mid-Market,22/05/2019,Ejecutivo_23,92,3.88
123,20924075818,Academia Andes SAC,Educación,Chiclayo,9710,SMB,19/07/2022,Ejecutivo_24,63,4.79
124,20478261375,Obras Perú SAC,Construcción,Piura,1598,SMB,7/01/2025,Ejecutivo_25,73,3.66
125,20853615305,Systems Perú EIRL,Tecnología,Cusco,3988,Enterprise,9/07/2017,Ejecutivo_26,31,2.86
126,20204727790,Obras Capital SAC,Construcción,Cusco,9700,Enterprise,30/11/2021,Ejecutivo_27,30,2.62
127,20289861434,Constructora Pacífico SAC,Construcción,Ica,1403,SMB,12/11/2017,Ejecutivo_28,71,3.94
128,20117980893,Digital Inca EIRL,Tecnología,Piura,5210,SMB,17/04/2023,Ejecutivo_29,65,3.88
129,20953962185,Cargo Inca SAC,Transporte,Tacna,3028,Mid-Market,10/04/2024,Ejecutivo_30,74,4.61
130,20670654051,Learning Norte SAC,Educación,Piura,1202,Mid-Market,5/06/2022,Ejecutivo_31,51,3.77
131,20205852772,Salud Capital EIRL,Salud,Trujillo,2338,SMB,5/11/2019,Ejecutivo_32,77,3.54
132,20043030548,Transportes Sur EIRL,Transporte,Trujillo,5643,Mid-Market,7/03/2017,Ejecutivo_33,62,4.68
133,20345054156,Academia Pacífico SAC,Educación,Piura,255,Enterprise,22/02/2023,Ejecutivo_34,98,4.78
134,20527758416,Networks Inca EIRL,Telecomunicaciones,Piura,5547,SMB,15/12/2021,Ejecutivo_35,21,1.32
135,20845115447,Networks Capital SAC,Telecomunicaciones,Ica,4499,SMB,6/07/2017,Ejecutivo_36,38,1.77
136,20570596401,Telecom Sur EIRL,Telecomunicaciones,Cusco,5465,Mid-Market,28/04/2022,Ejecutivo_37,72,4.1
137,20029702135,Comunicaciones Norte SAC,Telecomunicaciones,Lima,8768,SMB,17/01/2017,Ejecutivo_38,65,3.72
138,20755719285,Networks Perú SAC,Telecomunicaciones,Trujillo,4406,Enterprise,25/10/2024,Ejecutivo_39,67,4.12
139,20027868144,Inversiones Andes SAC,Finanzas,Piura,6122,Enterprise,13/04/2020,Ejecutivo_40,75,4.12
140,20731217271,Industrial Norte EIRL,Manufactura,Ica,9517,Mid-Market,22/05/2018,Ejecutivo_41,84,4.9
141,20884422583,Inversiones Sur SAC,Finanzas,Trujillo,779,Mid-Market,17/12/2017,Ejecutivo_42,80,3.83
142,20058957829,Medical Andes EIRL,Salud,Tacna,230,Enterprise,14/12/2020,Ejecutivo_43,80,4.17
143,20786691251,Constructora Pacífico EIRL,Construcción,Cajamarca,5874,Enterprise,2/03/2018,Ejecutivo_44,34,1.61
144,20289226801,Producción Norte EIRL,Manufactura,Ica,5472,Enterprise,20/09/2019,Ejecutivo_45,55,3.98
145,20535841438,Cargo Andes SAC,Transporte,Cusco,5983,SMB,3/05/2016,Ejecutivo_46,71,4.98
146,20829922995,Cargo Norte SAC,Transporte,Huancayo,8558,SMB,24/03/2025,Ejecutivo_47,80,3.85
147,20109439690,Agro Capital SAC,Agroindustria,Huancayo,8390,SMB,27/12/2017,Ejecutivo_48,56,4.13
148,20736471027,Academia Sur EIRL,Educación,Ica,7624,SMB,20/07/2024,Ejecutivo_49,60,4.87
149,20925556258,Manufactura Andes EIRL,Manufactura,Piura,2270,Enterprise,23/10/2017,Ejecutivo_50,88,3.61
150,20147321046,Obras Andes EIRL,Construcción,Arequipa,9836,Enterprise,5/08/2024,Ejecutivo_1,21,2.78
151,20595327877,Agroindustrial Andes SAC,Agroindustria,Cusco,5909,Enterprise,11/04/2017,Ejecutivo_2,59,4.98
152,20687339500,Distribuidora Perú SAC,Retail,Piura,1544,Enterprise,25/01/2020,Ejecutivo_3,73,4.03
153,20480162456,Producción Capital EIRL,Manufactura,Tacna,8661,Enterprise,26/04/2024,Ejecutivo_4,96,4.04
154,20584168784,Systems Perú SAC,Tecnología,Piura,3905,Enterprise,16/09/2019,Ejecutivo_5,61,4.05
155,20216558523,Campos Norte SAC,Agroindustria,Trujillo,470,Enterprise,12/06/2019,Ejecutivo_6,71,4.79
156,20002578729,Academia Norte SAC,Educación,Trujillo,1657,Enterprise,25/02/2017,Ejecutivo_7,54,5
157,20269495888,Educativa Pacífico EIRL,Educación,Arequipa,7201,Enterprise,26/05/2016,Ejecutivo_8,90,4.07
158,20551694097,Agroindustrial Inca SAC,Agroindustria,Trujillo,809,Mid-Market,9/01/2024,Ejecutivo_9,24,1.6
159,20972896230,Campos Andes SAC,Agroindustria,Arequipa,5860,SMB,21/07/2017,Ejecutivo_10,88,4.89
160,20562636897,Ingeniería Perú EIRL,Construcción,Huancayo,9377,Mid-Market,12/12/2024,Ejecutivo_11,50,4.56
161,20857865278,Digital Norte SAC,Tecnología,Ica,2366,SMB,15/01/2020,Ejecutivo_12,99,4.55
162,20973348434,Academia Sur EIRL,Educación,Tacna,8013,Mid-Market,6/02/2018,Ejecutivo_13,81,4.52
163,20575844198,Retail Sur EIRL,Retail,Cusco,569,Mid-Market,12/03/2020,Ejecutivo_14,52,4.13
164,20404157473,Comunicaciones Capital SAC,Telecomunicaciones,Ica,8445,SMB,8/03/2017,Ejecutivo_15,53,4.42
165,20219933083,Academia Norte EIRL,Educación,Tacna,2334,SMB,6/08/2018,Ejecutivo_16,98,3.55
166,20571208267,Salud Perú EIRL,Salud,Arequipa,3750,Enterprise,22/05/2025,Ejecutivo_17,70,3.61
167,20019380262,Clínica Pacífico EIRL,Salud,Arequipa,5206,Enterprise,16/07/2025,Ejecutivo_18,75,4.16
168,20240049915,Systems Capital EIRL,Tecnología,Tacna,8907,SMB,11/08/2022,Ejecutivo_19,27,2.72
169,20287431527,Producción Norte EIRL,Manufactura,Tacna,4083,SMB,24/08/2020,Ejecutivo_20,96,3.72
170,20493296685,Retail Perú EIRL,Retail,Piura,3776,Enterprise,14/11/2018,Ejecutivo_21,67,3.78
171,20275304637,Networks Perú SAC,Telecomunicaciones,Piura,6083,SMB,7/02/2020,Ejecutivo_22,95,4.86
172,20453017426,Market Pacífico SAC,Retail,Cusco,1640,SMB,27/08/2016,Ejecutivo_23,81,4.77
173,20145933272,Learning Capital EIRL,Educación,Piura,6915,Mid-Market,26/12/2022,Ejecutivo_24,18,2.27
174,20833918785,Agroindustrial Inca EIRL,Agroindustria,Cajamarca,5676,SMB,12/09/2018,Ejecutivo_25,93,3.55
175,20982258713,Agro Perú SAC,Agroindustria,Piura,247,SMB,30/11/2022,Ejecutivo_26,34,2.35
176,20072867908,Agroindustrial Perú EIRL,Agroindustria,Huancayo,3502,Mid-Market,25/12/2020,Ejecutivo_27,54,4
177,20039106518,Comercial Inca EIRL,Retail,Tacna,2007,Enterprise,16/08/2023,Ejecutivo_28,96,3.55
178,20622656766,Infraestructura Perú EIRL,Construcción,Chiclayo,1631,Enterprise,26/01/2017,Ejecutivo_29,89,4.38
179,20128682300,Educativa Sur EIRL,Educación,Tacna,1069,SMB,16/09/2024,Ejecutivo_30,85,3.95
180,20863375243,Producción Sur EIRL,Manufactura,Lima,3033,Enterprise,9/05/2021,Ejecutivo_31,87,3.72
181,20903311907,Constructora Capital EIRL,Construcción,Arequipa,1924,Mid-Market,6/06/2024,Ejecutivo_32,96,4.17
182,20673830284,Digital Sur SAC,Tecnología,Chiclayo,6045,SMB,17/03/2021,Ejecutivo_33,85,4.94
183,20342836440,Agroindustrial Norte EIRL,Agroindustria,Cajamarca,2948,SMB,26/04/2017,Ejecutivo_34,50,4.4
184,20870568566,Campos Andes EIRL,Agroindustria,Ica,1047,Enterprise,14/03/2016,Ejecutivo_35,71,3.97
185,20334270866,Distribuidora Andes EIRL,Retail,Tacna,6659,SMB,30/08/2016,Ejecutivo_36,94,4.35
186,20435175183,Educativa Inca SAC,Educación,Lima,4333,Mid-Market,29/07/2019,Ejecutivo_37,71,4.62
187,20139837354,Distribuidora Sur SAC,Retail,Tacna,1019,Enterprise,21/02/2020,Ejecutivo_38,84,4.6
188,20739363854,Digital Andes SAC,Tecnología,Arequipa,4528,Enterprise,13/02/2025,Ejecutivo_39,55,4.26
189,20445877175,Producción Sur EIRL,Manufactura,Ica,8229,SMB,10/04/2016,Ejecutivo_40,38,1.85
190,20093204899,Clínica Pacífico EIRL,Salud,Lima,8371,Enterprise,23/12/2020,Ejecutivo_41,82,3.61
191,20536937854,Comunicaciones Andes SAC,Telecomunicaciones,Lima,6824,Enterprise,3/04/2025,Ejecutivo_42,81,3.93
192,20725228728,Producción Sur EIRL,Manufactura,Trujillo,4365,SMB,18/01/2017,Ejecutivo_43,87,3.73
193,20006231203,Cloud Perú SAC,Tecnología,Piura,6716,Enterprise,18/01/2016,Ejecutivo_44,97,4.53
194,20700886008,Manufactura Perú EIRL,Manufactura,Huancayo,5491,Enterprise,19/01/2019,Ejecutivo_45,85,4.43
195,20211823398,Market Perú EIRL,Retail,Tacna,4475,SMB,5/07/2020,Ejecutivo_46,67,3.68
196,20156793341,Inversiones Capital EIRL,Finanzas,Chiclayo,7164,Enterprise,14/03/2018,Ejecutivo_47,53,3.62
197,20687002176,Tech Inca EIRL,Tecnología,Trujillo,4495,Enterprise,20/12/2021,Ejecutivo_48,70,4.9
198,20339740148,Finanzas Norte SAC,Finanzas,Piura,3335,Mid-Market,17/10/2022,Ejecutivo_49,97,4.07
199,20039261429,Digital Capital EIRL,Tecnología,Tacna,6565,SMB,20/01/2021,Ejecutivo_50,70,3.95
200,20621850163,Agroindustrial Sur EIRL,Agroindustria,Huancayo,4538,Enterprise,31/10/2018,Ejecutivo_1,87,4.75
201,20504773586,Obras Norte EIRL,Construcción,Arequipa,7167,Mid-Market,14/10/2024,Ejecutivo_2,78,4.77
202,20311426265,Express Perú EIRL,Transporte,Tacna,2723,Enterprise,2/06/2025,Ejecutivo_3,59,4.69
203,20754121267,Constructora Perú EIRL,Construcción,Huancayo,7295,Mid-Market,30/01/2022,Ejecutivo_4,66,3.59
204,20015819956,Learning Inca SAC,Educación,Cajamarca,3108,Enterprise,14/08/2024,Ejecutivo_5,3,2.75
205,20839826224,Distribuidora Inca SAC,Retail,Huancayo,1947,Enterprise,2/04/2017,Ejecutivo_6,51,4.67
206,20264647154,Distribuidora Andes SAC,Retail,Cusco,1894,Enterprise,25/11/2023,Ejecutivo_7,84,4.2
207,20712406596,Producción Norte SAC,Manufactura,Cajamarca,6721,Enterprise,14/06/2023,Ejecutivo_8,97,4.85
208,20924593752,Consulting Pacífico EIRL,Finanzas,Cusco,5443,Enterprise,6/01/2016,Ejecutivo_9,92,3.99
209,20935646519,Inversiones Sur EIRL,Finanzas,Lima,4542,SMB,6/06/2020,Ejecutivo_10,73,4.32
210,20737416724,Campos Andes SAC,Agroindustria,Cajamarca,3504,Enterprise,16/03/2017,Ejecutivo_11,58,4.77
211,20617979688,Retail Sur EIRL,Retail,Cajamarca,9260,Enterprise,13/01/2017,Ejecutivo_12,92,4.38
212,20891135290,Networks Perú EIRL,Telecomunicaciones,Piura,7076,Enterprise,5/01/2018,Ejecutivo_13,86,4.56
213,20101438889,Comunicaciones Capital EIRL,Telecomunicaciones,Ica,3367,Enterprise,23/02/2022,Ejecutivo_14,58,4.88
214,20679825071,Agro Inca EIRL,Agroindustria,Lima,8438,SMB,20/08/2017,Ejecutivo_15,57,4.94
215,20545738757,Telecom Perú SAC,Telecomunicaciones,Lima,9408,Enterprise,4/03/2016,Ejecutivo_16,87,4.99
216,20514010512,Producción Sur EIRL,Manufactura,Arequipa,8854,SMB,1/08/2023,Ejecutivo_17,62,4.01
217,20586736226,Medical Norte SAC,Salud,Huancayo,2088,SMB,3/09/2022,Ejecutivo_18,61,3.83
218,20966033419,Cloud Andes EIRL,Tecnología,Cusco,8254,SMB,18/03/2021,Ejecutivo_19,71,3.89
219,20371478596,Educativa Pacífico EIRL,Educación,Cusco,4771,Enterprise,8/06/2020,Ejecutivo_20,22,2.65
220,20579249912,Networks Perú EIRL,Telecomunicaciones,Lima,7142,SMB,19/12/2021,Ejecutivo_21,52,3.65
221,20252866929,Ingeniería Pacífico SAC,Construcción,Ica,2820,SMB,18/04/2021,Ejecutivo_22,90,4.26
222,20827422579,Telecom Inca SAC,Telecomunicaciones,Trujillo,274,Enterprise,2/11/2020,Ejecutivo_23,38,1.75
223,20368876767,Finanzas Inca SAC,Finanzas,Cajamarca,7949,SMB,3/07/2019,Ejecutivo_24,51,4.26
224,20340438427,Transportes Norte SAC,Transporte,Huancayo,2987,Mid-Market,9/09/2017,Ejecutivo_25,29,1.86
225,20914858078,Producción Norte SAC,Manufactura,Cajamarca,6405,SMB,10/04/2021,Ejecutivo_26,20,2.05
226,20407451713,Telecom Sur SAC,Telecomunicaciones,Ica,106,Mid-Market,23/12/2024,Ejecutivo_27,72,4
