servicio_id,company_id,tipo_servicio,plazo_meses,monto_mensual,sla_contratado,renovacion_automatica
143,46,MPLS,36,22367.88,99.95,Si
144,46,Ciberseguridad Gestionada,12,4840.92,99.9,No
145,46,Cloud,36,13369.4,99.5,Si
146,47,MPLS,24,6435.12,99.5,No
147,48,Voz IP,12,8332.14,99.95,No
148,48,Cloud,36,5589.19,99.95,Si
149,48,SD-WAN,24,3368.56,99.95,No
150,48,Ciberseguridad Gestionada,24,3843.84,99.5,No
151,49,Voz IP,12,22184.59,99.9,Si
152,49,Voz IP,12,23219.82,99.95,Si
153,50,Internet Dedicado,12,18276.45,99.95,Si
154,50,SD-WAN,12,19086.82,99.5,Si
155,50,Cloud,24,16674.0,99.5,Si
156,51,SD-WAN,36,7069.96,99.95,Si
157,51,Data Center,36,13248.68,99.9,Si
158,51,MPLS,24,21895.34,99.5,Si
159,52,MPLS,24,13302.71,99.9,Si
160,52,MPLS,12,8970.23,99.9,Si
161,52,Voz IP,12,12400.67,99.95,Si
162,52,Ciberseguridad Gestionada,36,21418.41,99.5,Si
163,52,Data Center,24,21391.09,99.95,Si
164,53,Cloud,36,21246.53,99.9,No
165,54,Internet Dedicado,36,12833.23,99.9,Si
166,54,MPLS,36,11820.15,99.5,Si
167,54,SD-WAN,24,10077.03,99.5,Si
168,54,Cloud,36,19021.44,99.95,Si
169,55,Cloud,12,1359.34,99.95,No
170,55,Data Center,24,19967.45,99.5,Si
171,56,SD-WAN,36,18115.8,99.9,Si
172,56,MPLS,24,22882.57,99.95,Si
173,56,Data Center,12,1557.41,99.5,Si
174,57,Data Center,24,21882.0,99.5,No
175,58,Ciberseguridad Gestionada,36,9401.79,99.5,No
176,58,SD-WAN,36,9159.66,99.5,Si
177,59,Voz IP,36,6108.39,99.9,No
178,59,Internet Dedicado,12,1244.01,99.5,No
179,59,Voz IP,24,11664.05,99.9,No
180,59,Internet Dedicado,24,7496.4,99.5,No
181,59,Internet Dedicado,12,8254.11,99.95,No
182,60,MPLS,24,23536.5,99.95,No
183,60,Data Center,24,2788.55,99.95,Si
184,60,MPLS,36,23213.98,99.95,Si
185,61,Cloud,36,8736.39,99.5,Si
186,61,MPLS,36,21009.64,99.5,Si
187,61,Ciberseguridad Gestionada,12,15820.66,99.5,Si
188,62,Voz IP,12,22205.31,99.5,Si
189,62,Data Center,12,21349.22,99.95,Si
190,63,Internet Dedicado,12,5709.96,99.9,Si
191,63,SD-WAN,36,17824.15,99.9,Si
192,64,Data Center,12,18485.59,99.95,Si
193,64,Ciberseguridad Gestionada,36,2360.59,99.9,Si
194,64,Cloud,24,4524.3,99.5,Si
195,64,Cloud,24,22257.45,99.95,Si
196,64,Cloud,24,15195.88,99.5,Si
197,65,Voz IP,36,17161.31,99.9,Si
198,66,Internet Dedicado,36,23332.2,99.95,Si
199,66,Ciberseguridad Gestionada,12,12453.95,99.9,Si
200,66,Data Center,24,7601.04,99.95,Si
201,67,Cloud,12,9038.86,99.95,Si
202,67,Voz IP,36,18338.89,99.9,Si
203,67,Cloud,12,11761.82,99.95,Si
204,67,Internet Dedicado,24,13692.29,99.95,Si
205,68,Internet Dedicado,24,24346.66,99.95,Si
206,68,Data Center,12,24497.32,99.9,Si
207,69,Ciberseguridad Gestionada,12,5877.09,99.9,No
208,69,MPLS,24,18307.59,99.5,No
209,69,Data Center,12,14210.18,99.5,No
210,69,Data Center,12,4977.93,99.9,No
211,69,Data Center,12,1637.04,99.5,No
212,70,SD-WAN,36,18692.79,99.95,Si
213,70,Voz IP,12,18053.71,99.5,Si
214,70,Internet Dedicado,24,6866.84,99.95,Si
215,70,Voz IP,36,20821.48,99.95,Si
216,71,Data Center,12,21100.24,99.95,Si
217,71,Internet Dedicado,12,20960.24,99.95,Si
218,71,Internet Dedicado,24,17613.64,99.5,No
219,71,Internet Dedicado,24,19347.3,99.95,Si
220,72,Voz IP,24,21672.38,99.5,No
221,73,Cloud,36,12982.67,99.5,Si
222,74,SD-WAN,24,7841.16,99.5,Si
223,74,Data Center,12,3856.06,99.9,Si
224,75,Data Center,12,9413.64,99.9,Si
225,76,SD-WAN,36,3572.28,99.5,No
226,76,Ciberseguridad Gestionada,12,16533.36,99.95,No
227,76,Data Center,24,22151.33,99.5,Si
228,76,Internet Dedicado,36,7573.8,99.5,Si
229,77,Voz IP,12,7517.8,99.9,Si
230,77,Data Center,24,7275.0,99.95,Si
231,77,Voz IP,24,739.48,99.9,Si
232,77,Data Center,24,21132.66,99.95,No
233,78,Ciberseguridad Gestionada,36,2580.02,99.9,Si
234,79,Voz IP,36,5895.34,99.9,Si
235,79,MPLS,12,14998.81,99.5,No
236,79,Data Center,36,19705.33,99.9,Si
237,79,Internet Dedicado,24,22896.99,99.9,Si
238,79,Internet Dedicado,12,4823.69,99.9,No
239,80,Voz IP,12,17250.34,99.5,Si
240,80,Voz IP,36,4666.4,99.9,Si
241,81,Voz IP,12,16408.4,99.5,Si
242,81,SD-WAN,12,17725.62,99.95,Si
243,81,Voz IP,24,632.55,99.95,Si
244,81,Voz IP,36,24555.95,99.95,Si
245,81,Ciberseguridad Gestionada,36,15034.77,99.95,Si
246,82,MPLS,36,17355.81,99.5,Si
247,82,Ciberseguridad Gestionada,12,18482.02,99.95,Si
248,82,SD-WAN,12,14292.34,99.9,Si
249,83,Internet Dedicado,36,8404.4,99.5,Si
250,83,Internet Dedicado,24,14168.26,99.5,Si
251,83,Ciberseguridad Gestionada,12,3645.59,99.5,No
252,83,MPLS,36,16237.29,99.5,Si
253,84,MPLS,24,10325.7,99.95,Si
254,84,Internet Dedicado,12,8395.28,99.95,Si
255,84,Voz IP,24,1207.81,99.95,No
256,84,Cloud,12,3585.38,99.95,Si
257,85,MPLS,12,14860.86,99.95,Si
258,86,SD-WAN,36,24129.9,99.95,Si
259,87,Ciberseguridad Gestionada,36,12503.45,99.9,No
260,87,Cloud,36,14086.25,99.5,Si
261,88,MPLS,36,14542.38,99.95,Si
262,88,SD-WAN,24,11790.66,99.9,Si
263,89,Cloud,36,20074.37,99.9,Si
264,89,Ciberseguridad Gestionada,36,15682.7,99.5,No
265,89,Internet Dedicado,36,3728.6,99.9,No
266,89,Internet Dedicado,24,1900.24,99.9,Si
267,89,Cloud,36,3930.31,99.95,No
268,90,Ciberseguridad Gestionada,12,2352.14,99.95,Si
269,90,SD-WAN,36,23188.94,99.95,No
270,91,Voz IP,12,11317.01,99.9,Si
271,91,Voz IP,36,4802.03,99.9,No
272,91,SD-WAN,24,18078.33,99.95,Si
273,92,Cloud,36,13724.6,99.5,No
274,92,Voz IP,12,14873.67,99.95,Si
275,93,SD-WAN,36,9243.94,99.95,No
276,94,SD-WAN,36,13759.28,99.95,Si
277,94,Ciberseguridad Gestionada,36,2579.91,99.9,Si
278,94,Internet Dedicado,24,22785.62,99.95,Si
279,95,Cloud,12,12868.8,99.95,Si
280,96,Ciberseguridad Gestionada,24,11824.81,99.95,Si
281,96,SD-WAN,24,12109.79,99.5,Si
282,96,Internet Dedicado,12,22508.86,99.5,Si
283,97,Cloud,12,5958.67,99.5,Si
284,97,Internet Dedicado,24,13177.74,99.9,Si
285,97,Data Center,24,17638.84,99.95,Si
286,97,SD-WAN,24,10394.84,99.9,No
287,97,Cloud,12,12406.64,99.5,Si
288,98,Voz IP,24,12371.51,99.5,Si
289,98,MPLS,12,9463.44,99.9,Si
290,99,Voz IP,36,3667.77,99.9,Si
291,99,Internet Dedicado,24,11877.86,99.5,No
292,100,Internet Dedicado,24,11138.85,99.95,Si
293,100,Data Center,24,2282.63,99.95,Si
294,100,SD-WAN,36,18224.06,99.9,Si
295,100,Internet Dedicado,12,15614.13,99.9,Si
296,100,MPLS,24,14636.48,99.9,No
297,101,MPLS,36,512.96,99.95,No
298,101,MPLS,36,7326.58,99.5,No
299,101,Data Center,36,11734.89,99.9,Si
300,102,Ciberseguridad Gestionada,24,2425.33,99.5,No
301,102,MPLS,36,7050.18,99.5,Si
302,102,SD-WAN,12,1745.61,99.5,Si
303,102,MPLS,36,10453.25,99.9,No
304,103,Internet Dedicado,12,21400.17,99.9,Si
305,103,Data Center,36,17361.57,99.5,Si
306,103,Ciberseguridad Gestionada,24,16408.18,99.95,Si
307,103,SD-WAN,36,4102.64,99.5,Si
308,103,SD-WAN,12,20121.97,99.9,No
309,104,MPLS,24,6047.61,99.5,No
310,104,Internet Dedicado,36,21686.74,99.5,Si
311,104,MPLS,24,1606.89,99.9,No
312,104,SD-WAN,12,9860.15,99.5,Si
313,104,Internet Dedicado,36,1682.54,99.95,Si
314,105,SD-WAN,12,18576.92,99.5,Si
315,105,SD-WAN,36,16503.74,99.95,No
316,105,Cloud,36,11500.07,99.9,No
317,105,SD-WAN,12,20220.41,99.95,Si
318,105,Cloud,36,1197.25,99.5,Si
319,106,MPLS,24,1559.21,99.9,Si
320,106,SD-WAN,24,4974.98,99.5,Si
321,106,Data Center,24,9256.32,99.95,Si
322,107,Data Center,24,15887.13,99.5,Si
323,107,Data Center,36,875.75,99.95,Si
324,107,Voz IP,24,13689.09,99.95,No
325,107,Data Center,24,17228.3,99.95,No
326,107,Voz IP,24,3919.47,99.9,No
327,108,MPLS,12,19360.56,99.5,Si
328,108,Data Center,24,8184.18,99.9,Si
329,108,Cloud,12,15726.77,99.5,Si
330,109,Cloud,12,8328.37,99.5,No
331,109,Cloud,36,24392.21,99.5,No
332,109,Voz IP,24,1580.61,99.9,No
333,109,Ciberseguridad Gestionada,24,8044.18,99.95,No
334,110,Voz IP,36,24454.81,99.5,Si
335,110,Ciberseguridad Gestionada,12,21435.82,99.9,Si
336,111,SD-WAN,12,13492.63,99.5,No
337,111,SD-WAN,12,14798.51,99.9,No
338,111,Ciberseguridad Gestionada,12,17974.49,99.95,No
339,111,Voz IP,24,21597.2,99.95,No
340,111,SD-WAN,36,4360.42,99.95,No
341,112,Voz IP,12,3237.67,99.95,Si
342,112,Cloud,12,19277.38,99.5,Si
343,112,Voz IP,36,20028.24,99.9,Si
344,113,Internet Dedicado,36,8450.07,99.95,No
345,113,Cloud,36,5089.79,99.95,No
346,114,MPLS,36,3318.15,99.95,Si
347,114,Cloud,12,19614.69,99.9,Si
348,115,Cloud,24,17329.94,99.95,Si
349,116,Data Center,36,13044.81,99.5,Si
350,116,Ciberseguridad Gestionada,36,21096.84,99.5,No
351,116,SD-WAN,36,22311.89,99.9,Si
352,117,MPLS,36,24263.21,99.9,Si
353,117,Cloud,36,17374.87,99.95,Si
354,117,Cloud,12,20775.52,99.9,Si
355,117,SD-WAN,12,10769.0,99.5,Si
356,118,MPLS,12,11618.64,99.95,No
357,118,Data Center,36,13111.81,99.9,Si
358,118,Cloud,36,11719.24,99.5,No
359,118,Ciberseguridad Gestionada,36,17412.98,99.9,Si
360,119,SD-WAN,12,13360.16,99.9,Si
361,119,SD-WAN,12,6843.35,99.95,Si
362,119,Data Center,36,1579.29,99.9,Si
363,119,MPLS,24,10767.81,99.95,Si
364,119,Data Center,24,10352.31,99.95,No
365,120,Cloud,12,7021.31,99.95,No
366,121,Cloud,24,2774.26,99.9,No
367,121,SD-WAN,12,7801.89,99.5,Si
368,121,Data Center,24,8459.82,99.9,No
369,121,Ciberseguridad Gestionada,36,21710.08,99.9,No
370,122,SD-WAN,24,6856.0,99.5,Si
371,122,Internet Dedicado,12,18104.09,99.95,Si
372,122,Internet Dedicado,12,8666.0,99.5,Si
373,122,Data Center,36,17195.6,99.5,Si
374,123,Data Center,24,2996.48,99.9,Si
375,123,Internet Dedicado,36,11312.05,99.5,Si
376,124,Data Center,36,9184.86,99.9,Si
377,124,Voz IP,24,3541.49,99.5,Si
378,124,Internet Dedicado,36,2570.95,99.95,No
379,124,Cloud,12,4468.53,99.95,No
380,124,Internet Dedicado,36,21124.25,99.5,Si
381,125,Cloud,36,18883.94,99.5,Si
382,126,SD-WAN,24,16175.79,99.9,Si
383,126,Data Center,24,16964.7,99.95,Si
384,126,Internet Dedicado,36,11178.89,99.95,Si
385,127,SD-WAN,24,9249.3,99.5,Si
386,127,Data Center,36,19882.56,99.95,Si
387,128,Ciberseguridad Gestionada,24,827.49,99.9,Si
388,128,Data Center,36,21598.48,99.95,No
389,128,Ciberseguridad Gestionada,36,18335.43,99.5,Si
390,128,Ciberseguridad Gestionada,24,17136.83,99.5,No
391,129,SD-WAN,36,3501.82,99.9,Si
392,130,MPLS,12,23160.88,99.9,Si
393,131,Voz IP,24,1327.21,99.95,Si
394,131,Internet Dedicado,24,12339.53,99.9,Si
395,131,Ciberseguridad Gestionada,36,5445.68,99.9,No
396,131,Ciberseguridad Gestionada,12,10749.26,99.5,Si
397,132,MPLS,24,8606.02,99.5,No
398,132,Data Center,24,2927.02,99.5,No
399,132,Ciberseguridad Gestionada,12,14158.4,99.9,No
400,132,Data Center,24,12304.32,99.9,Si
401,132,MPLS,12,10439.71,99.5,Si
402,133,Voz IP,24,3943.8,99.95,Si
403,134,MPLS,36,21083.61,99.5,No
404,134,MPLS,36,21287.92,99.9,No
405,134,Cloud,12,4980.06,99.9,No
406,134,Cloud,24,15656.15,99.9,No
407,134,Data Center,36,23240.33,99.5,Si
408,135,MPLS,36,12343.09,99.9,No
409,135,Ciberseguridad Gestionada,12,9786.54,99.5,No
410,135,SD-WAN,36,16372.56,99.9,No
411,135,SD-WAN,36,23473.97,99.5,Si
412,135,Cloud,12,16885.58,99.5,No
413,136,Voz IP,12,15105.84,99.5,Si
414,136,Cloud,24,3695.57,99.9,Si
415,137,Voz IP,36,21650.9,99.9,Si
416,137,SD-WAN,36,20644.31,99.5,No
417,138,MPLS,36,9000.67,99.9,Si
418,138,Ciberseguridad Gestionada,36,2876.61,99.9,No
419,138,Cloud,12,19572.81,99.9,Si
420,139,Cloud,12,19178.32,99.95,No
421,140,Voz IP,12,19632.51,99.9,No
422,141,Ciberseguridad Gestionada,24,24989.84,99.5,No
423,141,SD-WAN,36,17146.12,99.5,Si
424,141,Voz IP,36,23212.67,99.9,Si
425,141,MPLS,36,3557.79,99.95,No
426,142,Data Center,36,16818.66,99.9,Si
427,143,Internet Dedicado,24,7062.61,99.5,No
428,144,SD-WAN,12,14127.6,99.95,No
429,144,Cloud,36,11662.79,99.5,No
430,144,MPLS,36,17022.2,99.95,Si
431,144,Ciberseguridad Gestionada,36,12886.79,99.9,Si
432,145,Data Center,24,3339.41,99.95,No
433,145,Data Center,24,4997.73,99.5,No
434,146,SD-WAN,36,10413.26,99.95,No
435,146,Data Center,12,22681.6,99.95,Si
436,146,Internet Dedicado,36,13272.07,99.9,Si
437,146,MPLS,24,21362.78,99.5,Si
438,146,Voz IP,12,6091.15,99.5,Si
439,147,SD-WAN,36,11268.98,99.9,Si
440,147,MPLS,24,20511.57,99.95,Si
441,148,Internet Dedicado,24,5674.75,99.9,Si
442,148,MPLS,12,22804.5,99.95,No
443,148,Voz IP,24,10594.29,99.95,Si
444,148,Ciberseguridad Gestionada,24,17814.22,99.5,Si
445,149,Ciberseguridad Gestionada,12,1660.98,99.5,No
446,149,Internet Dedicado,12,17781.81,99.9,No
447,150,MPLS,24,19789.49,99.9,No
448,150,SD-WAN,36,11200.97,99.5,No
449,150,Ciberseguridad Gestionada,12,22233.33,99.5,Si
450,151,MPLS,24,22379.61,99.9,Si
451,152,Cloud,24,19366.04,99.9,No
452,152,Ciberseguridad Gestionada,24,2051.04,99.5,Si
453,152,Ciberseguridad Gestionada,36,16428.65,99.95,Si
454,152,Ciberseguridad Gestionada,36,8685.12,99.95,Si
455,153,Internet Dedicado,24,5594.89,99.5,No
456,153,SD-WAN,12,15394.79,99.5,No
457,153,SD-WAN,12,17535.54,99.95,Si
458,153,Ciberseguridad Gestionada,24,1607.41,99.95,Si
459,153,Voz IP,24,11850.54,99.9,Si
460,154,MPLS,24,9063.27,99.5,No
461,154,Internet Dedicado,12,15942.17,99.95,Si
462,154,SD-WAN,24,14147.85,99.5,No
463,154,Voz IP,36,9429.15,99.5,Si
464,155,Voz IP,24,6552.95,99.9,Si
465,155,MPLS,12,11450.23,99.95,No
466,156,Voz IP,24,5026.36,99.95,No
467,156,Voz IP,24,20823.75,99.9,Si
468,156,Cloud,36,7715.19,99.95,No
469,157,Data Center,36,7434.26,99.95,Si
470,157,Cloud,12,19314.78,99.95,No
471,157,SD-WAN,24,20650.06,99.95,No
472,157,MPLS,24,3224.48,99.95,Si
473,157,Ciberseguridad Gestionada,12,12979.74,99.95,Si
474,158,Ciberseguridad Gestionada,12,8622.82,99.9,No
475,158,MPLS,24,19984.09,99.9,No
476,158,Voz IP,12,8131.47,99.95,No
477,158,Ciberseguridad Gestionada,36,24796.51,99.95,No
478,159,Cloud,36,17546.76,99.9,No
479,159,Data Center,36,4699.07,99.9,Si
480,159,Cloud,24,9179.92,99.9,Si
481,159,Data Center,24,11295.61,99.9,Si
482,160,Cloud,36,10133.06,99.95,Si
483,160,MPLS,24,18432.36,99.9,No
484,160,Ciberseguridad Gestionada,24,12281.69,99.9,No
485,160,Internet Dedicado,12,19382.7,99.9,Si
486,160,Cloud,24,16310.0,99.5,Si
487,161,Internet Dedicado,24,3172.33,99.5,Si
488,161,MPLS,24,14262.89,99.9,Si
489,161,Ciberseguridad Gestionada,24,4693.56,99.9,Si
490,161,Voz IP,36,9451.33,99.95,Si
491,161,Ciberseguridad Gestionada,12,7499.39,99.9,Si
492,162,Internet Dedicado,24,22364.53,99.9,No
493,162,Data Center,36,22242.77,99.95,Si
494,162,Data Center,12,10263.24,99.9,No
495,162,Cloud,24,19968.3,99.9,No
496,163,Voz IP,36,3208.39,99.9,Si
497,163,Internet Dedicado,24,24248.2,99.9,Si
498,163,Voz IP,12,21444.81,99.5,No
499,163,MPLS,36,587.48,99.9,No
500,164,SD-WAN,12,11979.18,99.9,Si
501,164,MPLS,36,16314.45,99.5,Si
502,164,SD-WAN,36,22423.97,99.95,No
503,164,Internet Dedicado,36,10252.39,99.95,Si
504,164,Ciberseguridad Gestionada,36,17865.97,99.9,Si
505,165,Internet Dedicado,12,16327.3,99.9,Si
506,165,Internet Dedicado,36,24741.07,99.9,Si
507,165,Cloud,36,23369.32,99.95,No
508,165,Voz IP,36,9546.5,99.95,Si
509,166,SD-WAN,12,21743.78,99.95,Si
510,166,Voz IP,24,8669.33,99.9,Si
511,166,Cloud,24,24016.18,99.5,Si
512,166,Data Center,12,12528.61,99.95,Si
513,166,Internet Dedicado,12,4529.75,99.95,Si
514,167,SD-WAN,24,5202.09,99.9,Si
515,167,Ciberseguridad Gestionada,12,14131.75,99.9,Si
516,167,MPLS,24,18726.57,99.9,Si
517,167,Internet Dedicado,36,15114.24,99.95,Si
518,168,Data Center,24,15199.98,99.95,No
519,168,Internet Dedicado,24,6043.83,99.5,Si
520,168,MPLS,12,23196.25,99.5,No
521,168,Cloud,12,23460.3,99.5,No
522,169,MPLS,12,19186.76,99.95,No
523,169,Voz IP,12,24815.82,99.95,No
524,169,Ciberseguridad Gestionada,24,2210.28,99.9,Si
525,170,Ciberseguridad Gestionada,12,15538.37,99.95,No
526,170,SD-WAN,36,17659.72,99.9,Si
527,171,Cloud,24,7388.03,99.95,Si
528,172,Ciberseguridad Gestionada,12,22282.02,99.9,Si
529,172,SD-WAN,36,10551.57,99.9,Si
530,172,Data Center,12,21092.67,99.9,Si
531,173,Voz IP,24,15730.04,99.95,No
532,173,Data Center,36,13623.2,99.5,Si
533,173,Internet Dedicado,36,3096.83,99.9,No
534,173,Voz IP,12,22852.5,99.5,No
535,174,Ciberseguridad Gestionada,36,20251.14,99.5,Si
536,174,SD-WAN,36,18390.8,99.5,No
537,174,Voz IP,24,5295.14,99.9,Si
538,175,Data Center,36,5843.07,99.9,No
539,175,MPLS,36,9476.26,99.5,No
540,175,MPLS,36,2046.79,99.95,No
541,176,Cloud,24,18565.33,99.5,No
542,176,Data Center,36,20719.71,99.5,Si
543,176,Voz IP,24,19093.92,99.95,Si
544,176,Internet Dedicado,36,18907.23,99.5,Si
545,176,Cloud,12,2560.59,99.5,Si
546,177,Ciberseguridad Gestionada,24,5716.38,99.5,Si
547,177,SD-WAN,12,21755.6,99.95,Si
548,178,Cloud,24,17757.83,99.5,Si
549,178,MPLS,12,4834.21,99.5,No
550,179,Voz IP,12,10722.5,99.5,Si
551,179,Internet Dedicado,24,5923.73,99.9,Si
552,179,MPLS,24,24246.39,99.5,Si
553,179,Ciberseguridad Gestionada,36,15098.1,99.95,Si
554,179,MPLS,12,19710.58,99.95,No
555,180,MPLS,36,16404.74,99.9,Si
556,180,SD-WAN,24,13173.38,99.95,Si
557,181,Data Center,12,7256.07,99.9,No
558,181,Internet Dedicado,36,23225.27,99.95,Si
