company_id,churn,motivo_abandono,risk_score
178,0,Permanece,50.9
179,0,Permanece,10.7
180,0,Permanece,4.77
181,0,Permanece,29.01
182,0,Permanece,6.02
183,0,Permanece,31.12
184,0,Permanece,24.74
185,0,Permanece,56.63
186,0,Permanece,54.07
187,0,Permanece,12.68
188,0,Permanece,13.17
189,1,Competencia,87.17
190,0,Permanece,7.36
191,0,Permanece,5.92
192,0,Permanece,6.9
193,0,Permanece,16.75
194,0,Permanece,15.23
195,0,Permanece,17.74
196,0,Permanece,21.34
197,0,Permanece,32.74
198,0,Permanece,29.32
199,0,Permanece,8.57
200,0,Permanece,40.61
201,0,Permanece,20.2
202,0,Permanece,2.13
203,0,Permanece,10.97
204,1,Fusión empresarial,78.17
205,0,Permanece,37.7
206,0,Permanece,57.33
207,0,Permanece,6.06
208,0,Permanece,8.06
209,0,Permanece,42.49
210,0,Permanece,4.07
211,0,Permanece,16.64
212,0,Permanece,56.57
213,0,Permanece,15.24
214,0,Permanece,29.75
215,0,Permanece,6.2
216,0,Permanece,8.92
217,0,Permanece,55.8
218,0,Permanece,31.71
219,1,Calidad de servicio,87.11
220,0,Permanece,12.91
221,0,Permanece,18.27
222,1,Cambio tecnológico,89.52
223,0,Permanece,16.95
224,1,Competencia,79.16
225,1,Competencia,78.95
226,0,Permanece,36.85
227,0,Permanece,20.96
228,0,Permanece,34.82
229,0,Permanece,47.54
230,0,Permanece,7.24
231,0,Permanece,9.17
232,0,Permanece,53.89
233,0,Permanece,37.31
234,0,Permanece,17.73
235,1,Competencia,74.05
236,0,Permanece,18.95
237,0,Permanece,38.77
238,1,Precio,94.17
239,0,Permanece,41.31
240,0,Permanece,23.34
241,0,Permanece,27.13
242,0,Permanece,15.94
243,1,Cambio tecnológico,93.12
244,0,Permanece,30.49
245,0,Permanece,9.51
246,0,Permanece,36.44
247,1,Calidad de servicio,78.21
248,0,Permanece,23.77
249,0,Permanece,27.03
250,0,Permanece,22.7
251,0,Permanece,51.66
252,0,Permanece,53.14
253,0,Permanece,20.4
254,0,Permanece,27.69
255,0,Permanece,0.41
256,1,Calidad de servicio,93.71
257,0,Permanece,42.13
258,1,Calidad de servicio,85.58
259,0,Permanece,13.32
260,0,Permanece,54.51
261,0,Permanece,5.8
262,0,Permanece,10.03
263,1,Cambio tecnológico,98.25
264,0,Permanece,50.8
265,0,Permanece,37.3
266,0,Permanece,50.2
267,0,Permanece,9.0
268,0,Permanece,51.0
269,0,Permanece,17.61
270,0,Permanece,9.89
271,0,Permanece,12.47
272,0,Permanece,12.82
273,0,Permanece,38.87
274,0,Permanece,17.58
275,0,Permanece,30.45
276,0,Permanece,36.65
277,0,Permanece,48.49
278,0,Permanece,21.43
279,0,Permanece,21.35
280,0,Permanece,11.55
281,1,Cambio tecnológico,95.94
282,0,Permanece,11.83
283,0,Permanece,57.51
284,0,Permanece,9.17
285,0,Permanece,56.55
286,0,Permanece,44.61
287,1,Fusión empresarial,75.55
288,1,Cambio tecnológico,98.13
289,0,Permanece,51.24
290,1,Cambio tecnológico,97.59
291,0,Permanece,55.0
292,1,Calidad de servicio,92.18
293,0,Permanece,11.84
294,1,Precio,98.12
295,0,Permanece,10.05
296,1,Calidad de servicio,78.91
297,1,Precio,79.25
298,1,Calidad de servicio,91.83
299,0,Permanece,11.72
300,0,Permanece,52.24
301,0,Permanece,50.78
302,0,Permanece,22.65
303,0,Permanece,28.36
304,0,Permanece,57.35
305,0,Permanece,6.24
306,1,Cambio tecnológico,70.82
307,0,Permanece,54.19
308,0,Permanece,28.46
309,0,Permanece,8.16
310,0,Permanece,49.8
311,0,Permanece,43.43
312,0,Permanece,15.14
313,0,Permanece,52.15
314,0,Permanece,58.93
315,0,Permanece,18.07
316,1,Fusión empresarial,77.51
317,0,Permanece,54.21
318,1,Fusión empresarial,73.45
319,0,Permanece,38.98
320,0,Permanece,39.44
321,0,Permanece,51.35
322,0,Permanece,18.22
323,1,Precio,93.26
324,0,Permanece,39.36
325,0,Permanece,11.83
326,0,Permanece,14.49
327,0,Permanece,39.95
328,1,Cambio tecnológico,71.92
329,0,Permanece,33.97
330,1,Fusión empresarial,97.28
331,0,Permanece,34.77
332,1,Competencia,93.62
333,0,Permanece,21.01
334,0,Permanece,43.19
335,0,Permanece,57.91
336,0,Permanece,48.14
337,0,Permanece,1.85
338,0,Permanece,41.11
339,0,Permanece,46.29
340,0,Permanece,6.86
341,1,Calidad de servicio,86.82
342,1,Cambio tecnológico,88.88
343,0,Permanece,33.6
344,0,Permanece,39.98
345,0,Permanece,29.95
346,0,Permanece,57.51
347,0,Permanece,28.93
348,0,Permanece,48.19
349,1,Cambio tecnológico,96.23
350,0,Permanece,31.85
351,0,Permanece,35.91
352,1,Competencia,86.68
353,0,Permanece,34.5
354,0,Permanece,57.8
355,0,Permanece,39.64
356,0,Permanece,11.11
357,0,Permanece,32.62
358,0,Permanece,32.79
359,0,Permanece,50.73
360,0,Permanece,48.2
361,0,Permanece,51.1
362,0,Permanece,27.21
363,0,Permanece,55.67
364,0,Permanece,16.97
365,0,Permanece,4.29
366,0,Permanece,21.42
367,0,Permanece,39.59
368,0,Permanece,58.31
369,0,Permanece,0.38
370,0,Permanece,30.76
371,1,Calidad de servicio,72.52
372,0,Permanece,13.34
373,0,Permanece,19.61
374,0,Permanece,58.02
375,0,Permanece,59.44
376,0,Permanece,34.43
377,0,Permanece,55.04
378,0,Permanece,15.45
379,0,Permanece,31.26
380,0,Permanece,21.1
381,0,Permanece,20.33
382,1,Calidad de servicio,88.9
383,0,Permanece,57.01
384,0,Permanece,31.53
385,0,Permanece,42.89
386,0,Permanece,48.18
387,0,Permanece,38.86
388,0,Permanece,39.87
389,0,Permanece,21.68
390,0,Permanece,2.0
391,0,Permanece,33.12
392,0,Permanece,19.2
393,1,Fusión empresarial,86.77
394,0,Permanece,8.09
395,0,Permanece,44.62
396,0,Permanece,9.41
397,0,Permanece,33.19
398,0,Permanece,45.97
399,0,Permanece,16.2
400,1,Cambio tecnológico,72.46
401,0,Permanece,23.04
402,0,Permanece,44.89
403,1,Competencia,80.63
404,0,Permanece,48.28
405,1,Calidad de servicio,98.97
406,0,Permanece,9.05
407,0,Permanece,28.18
408,0,Permanece,15.99
409,0,Permanece,14.1
410,0,Permanece,8.41
411,0,Permanece,1.76
412,0,Permanece,6.49
413,1,Cambio tecnológico,78.36
414,0,Permanece,17.11
415,0,Permanece,1.44
416,0,Permanece,29.13
417,0,Permanece,47.79
418,0,Permanece,5.34
419,0,Permanece,14.04
420,1,Calidad de servicio,95.36
421,0,Permanece,31.53
422,0,Permanece,56.67
423,1,Fusión empresarial,72.62
424,0,Permanece,25.02
425,0,Permanece,35.37
426,1,Calidad de servicio,94.43
427,1,Fusión empresarial,94.47
428,0,Permanece,23.56
429,0,Permanece,49.8
430,0,Permanece,42.37
431,0,Permanece,28.86
432,0,Permanece,7.75
433,0,Permanece,55.58
434,0,Permanece,56.69
435,0,Permanece,5.92
436,0,Permanece,52.62
437,1,Competencia,91.77
438,0,Permanece,45.14
439,0,Permanece,44.07
440,0,Permanece,26.62
441,0,Permanece,51.22
442,0,Permanece,55.99
443,1,Competencia,85.14
444,0,Permanece,11.35
445,0,Permanece,33.56
446,1,Calidad de servicio,99.99
447,1,Fusión empresarial,93.87
448,0,Permanece,26.21
449,0,Permanece,20.26
450,0,Permanece,39.17
451,0,Permanece,38.82
452,1,Competencia,91.62
453,0,Permanece,3.36
454,0,Permanece,32.24
455,1,Competencia,71.1
456,0,Permanece,9.84
457,0,Permanece,32.56
458,0,Permanece,21.25
459,0,Permanece,37.88
460,1,Precio,75.74
461,0,Permanece,58.42
462,0,Permanece,51.31
463,0,Permanece,41.55
464,1,Cambio tecnológico,94.21
465,0,Permanece,11.94
466,0,Permanece,18.05
467,0,Permanece,13.02
468,0,Permanece,1.49
469,0,Permanece,22.7
470,0,Permanece,12.41
471,0,Permanece,46.98
472,0,Permanece,23.69
473,0,Permanece,44.8
474,0,Permanece,28.96
475,1,Cambio tecnológico,97.18
476,0,Permanece,26.31
477,0,Permanece,26.56
478,0,Permanece,35.98
479,0,Permanece,59.92
480,0,Permanece,17.17
481,0,Permanece,44.63
482,0,Permanece,9.14
483,0,Permanece,48.87
484,0,Permanece,57.35
485,0,Permanece,1.27
486,0,Permanece,56.72
487,0,Permanece,47.73
488,0,Permanece,30.47
489,0,Permanece,40.17
490,0,Permanece,44.93
491,0,Permanece,37.69
492,1,Cambio tecnológico,88.78
493,1,Fusión empresarial,72.62
494,0,Permanece,36.48
495,0,Permanece,55.52
496,1,Cambio tecnológico,70.03
497,1,Fusión empresarial,98.0
498,1,Calidad de servicio,85.44
499,0,Permanece,0.52
500,0,Permanece,20.09
501,0,Permanece,46.32
502,0,Permanece,37.51
503,1,Competencia,79.06
504,0,Permanece,10.03
505,1,Calidad de servicio,78.21
506,0,Permanece,46.95
507,0,Permanece,43.84
508,0,Permanece,10.67
509,1,Cambio tecnológico,90.57
510,0,Permanece,23.6
511,0,Permanece,5.87
512,1,Competencia,78.84
513,1,Cambio tecnológico,92.9
514,0,Permanece,25.13
515,0,Permanece,19.89
516,0,Permanece,30.95
517,0,Permanece,23.21
518,1,Competencia,76.3
519,0,Permanece,30.85
520,0,Permanece,48.22
521,0,Permanece,55.94
522,0,Permanece,23.74
523,1,Competencia,89.77
524,0,Permanece,39.54
525,0,Permanece,39.69
526,0,Permanece,43.89
527,0,Permanece,49.32
528,0,Permanece,24.68
529,0,Permanece,53.94
530,0,Permanece,40.39
531,0,Permanece,18.66
532,1,Calidad de servicio,89.5
533,0,Permanece,20.37
534,0,Permanece,47.0
535,0,Permanece,21.51
536,0,Permanece,30.67
537,0,Permanece,37.23
538,0,Permanece,51.21
539,0,Permanece,19.01
540,0,Permanece,11.42
541,0,Permanece,44.93
542,0,Permanece,12.25
543,0,Permanece,36.43
544,0,Permanece,49.5
545,0,Permanece,56.21
546,0,Permanece,20.19
547,0,Permanece,52.87
548,0,Permanece,11.64
549,0,Permanece,9.58
550,1,Cambio tecnológico,85.18
551,0,Permanece,16.48
552,0,Permanece,33.5
553,0,Permanece,49.88
554,0,Permanece,46.46
555,0,Permanece,26.81
556,0,Permanece,23.06
557,0,Permanece,42.08
558,0,Permanece,23.55
559,0,Permanece,8.96
560,0,Permanece,30.29
561,0,Permanece,48.68
562,0,Permanece,26.47
563,0,Permanece,57.91
564,0,Permanece,10.27
565,1,Fusión empresarial,81.85
566,0,Permanece,9.13
567,0,Permanece,10.17
568,0,Permanece,12.64
569,0,Permanece,13.28
570,0,Permanece,33.81
571,0,Permanece,49.6
572,0,Permanece,30.55
573,0,Permanece,12.82
574,1,Cambio tecnológico,90.31
575,0,Permanece,55.78
576,1,Cambio tecnológico,80.18
577,0,Permanece,55.8
578,1,Precio,99.08
579,1,Competencia,89.58
580,1,Cambio tecnológico,87.77
581,0,Permanece,39.41
582,0,Permanece,45.29
583,0,Permanece,23.6
584,0,Permanece,59.94
585,0,Permanece,19.23
586,0,Permanece,6.61
587,0,Permanece,57.06
588,0,Permanece,18.68
589,0,Permanece,12.47
590,0,Permanece,24.08
591,0,Permanece,48.98
592,0,Permanece,27.59
593,0,Permanece,50.26
594,0,Permanece,36.49
595,0,Permanece,9.4
596,0,Permanece,16.82
597,0,Permanece,21.62
598,0,Permanece,36.36
599,0,Permanece,35.77
600,0,Permanece,10.59
601,0,Permanece,43.92
602,0,Permanece,43.42
603,1,Precio,80.36
604,1,Precio,72.83
605,0,Permanece,29.73
606,0,Permanece,31.93
607,0,Permanece,32.45
608,0,Permanece,57.91
609,0,Permanece,40.34
610,0,Permanece,0.75
611,0,Permanece,58.2
612,0,Permanece,14.22
613,0,Permanece,10.4
614,1,Precio,88.42
615,0,Permanece,47.16
616,0,Permanece,2.71
617,0,Permanece,20.59
618,1,Competencia,81.34
619,1,Cambio tecnológico,93.31
620,0,Permanece,43.21
621,1,Calidad de servicio,75.53
622,0,Permanece,8.39
623,0,Permanece,40.45
624,1,Competencia,77.69
625,1,Calidad de servicio,97.25
626,0,Permanece,36.2
627,0,Permanece,28.74
628,0,Permanece,6.34
629,0,Permanece,21.46
630,0,Permanece,39.74
631,0,Permanece,40.55
632,0,Permanece,55.73
633,0,Permanece,6.46
634,1,Fusión empresarial,83.93
635,0,Permanece,51.44
636,0,Permanece,33.83
637,0,Permanece,59.78
638,1,Calidad de servicio,80.41
639,0,Permanece,39.57
640,0,Permanece,41.47
641,0,Permanece,7.76
642,1,Precio,97.53
643,1,Precio,98.96
644,0,Permanece,37.92
645,0,Permanece,4.75
646,0,Permanece,9.42
647,0,Permanece,12.88
648,1,Competencia,70.89
649,0,Permanece,41.1
650,0,Permanece,55.24
651,0,Permanece,12.79
652,0,Permanece,18.46
653,0,Permanece,57.73
654,1,Cambio tecnológico,74.59
655,0,Permanece,2.23
656,0,Permanece,5.38
657,0,Permanece,40.59
658,0,Permanece,22.95
659,0,Permanece,26.95
660,0,Permanece,10.34
661,0,Permanece,37.31
662,1,Competencia,99.67
663,0,Permanece,11.99
664,0,Permanece,37.18
665,0,Permanece,6.47
666,1,Fusión empresarial,99.38
667,0,Permanece,32.25
668,0,Permanece,16.08
669,0,Permanece,36.34
670,0,Permanece,15.11
671,0,Permanece,2.52
672,0,Permanece,1.84
673,1,Competencia,94.37
674,0,Permanece,10.84
675,0,Permanece,26.5
676,0,Permanece,31.68
677,0,Permanece,31.74
678,0,Permanece,35.22
679,0,Permanece,36.46
680,0,Permanece,34.12
681,1,Precio,79.97
682,0,Permanece,44.32
683,0,Permanece,10.13
684,0,Permanece,48.06
685,0,Permanece,27.77
686,1,Fusión empresarial,93.83
687,1,Calidad de servicio,95.85
688,0,Permanece,8.49
689,0,Permanece,10.78
690,0,Permanece,28.93
691,0,Permanece,30.68
692,0,Permanece,57.98
693,0,Permanece,25.22
694,0,Permanece,0.07
695,0,Permanece,28.6
696,1,Fusión empresarial,74.62
697,1,Cambio tecnológico,98.93
698,0,Permanece,49.23
699,0,Permanece,52.48
700,1,Fusión empresarial,72.49
701,1,Precio,82.7
702,0,Permanece,6.26
703,0,Permanece,23.64
704,0,Permanece,37.93
705,1,Cambio tecnológico,81.57
706,0,Permanece,9.63
707,0,Permanece,25.43
708,1,Competencia,74.93
709,0,Permanece,24.33
710,0,Permanece,41.35
711,0,Permanece,8.58
712,0,Permanece,42.68
713,0,Permanece,19.62
714,0,Permanece,48.7
715,1,Fusión empresarial,71.55
716,0,Permanece,57.07
717,0,Permanece,59.54
718,0,Permanece,49.91
719,0,Permanece,39.39
720,0,Permanece,45.03
721,0,Permanece,59.48
722,0,Permanece,2.47
723,1,Calidad de servicio,84.75
724,0,Permanece,43.73
725,0,Permanece,10.73
726,0,Permanece,1.75
727,0,Permanece,55.2
728,1,Cambio tecnológico,73.1
729,0,Permanece,29.78
730,0,Permanece,42.72
731,0,Permanece,29.04
732,0,Permanece,15.84
733,0,Permanece,12.11
734,0,Permanece,31.26
735,0,Permanece,56.68
736,1,Calidad de servicio,93.91
737,0,Permanece,9.58
738,0,Permanece,16.56
739,0,Permanece,11.23
740,0,Permanece,25.44
741,0,Permanece,59.77
742,0,Permanece,59.63
743,0,Permanece,29.96
744,0,Permanece,33.22
745,0,Permanece,22.72
746,0,Permanece,56.01
747,1,Calidad de servicio,81.5
748,1,Precio,84.89
749,1,Calidad de servicio,97.74
750,0,Permanece,32.76
751,0,Permanece,43.41
752,0,Permanece,32.35
753,0,Permanece,13.02
754,0,Permanece,50.65
755,0,Permanece,29.09
756,0,Permanece,16.81
757,0,Permanece,47.16
758,0,Permanece,26.67
759,0,Permanece,4.46
760,1,Competencia,91.67
761,0,Permanece,23.68
762,0,Permanece,55.91
763,0,Permanece,51.96
764,1,Fusión empresarial,91.29
765,0,Permanece,59.87
766,0,Permanece,18.64
767,0,Permanece,56.82
768,1,Fusión empresarial,84.24
769,0,Permanece,18.21
770,0,Permanece,57.07
771,1,Fusión empresarial,94.02
772,0,Permanece,14.53
773,0,Permanece,24.75
774,1,Precio,72.47
775,0,Permanece,20.27
776,0,Permanece,40.86
777,0,Permanece,5.07
778,0,Permanece,5.19
779,1,Cambio tecnológico,95.92
780,1,Precio,89.83
781,1,Precio,83.49
782,0,Permanece,5.23
783,0,Permanece,4.44
784,0,Permanece,16.65
785,0,Permanece,47.32
786,1,Competencia,78.23
787,1,Precio,95.13
788,1,Precio,80.85
789,0,Permanece,57.54
790,0,Permanece,12.34
791,0,Permanece,37.67
792,0,Permanece,33.12
793,0,Permanece,14.82
794,0,Permanece,32.31
795,0,Permanece,49.81
796,0,Permanece,16.8
797,0,Permanece,45.39
798,0,Permanece,22.64
799,0,Permanece,15.75
800,0,Permanece,42.82
801,0,Permanece,37.87
802,0,Permanece,7.24
803,0,Permanece,39.61
804,1,Calidad de servicio,74.47
805,1,Competencia,99.09
806,0,Permanece,10.75
807,0,Permanece,41.04
808,1,Precio,87.97
809,0,Permanece,28.5
810,0,Permanece,26.38
811,0,Permanece,10.42
812,0,Permanece,26.11
813,0,Permanece,54.21
814,1,Competencia,82.93
815,0,Permanece,52.28
816,0,Permanece,15.4
817,0,Permanece,15.65
818,0,Permanece,3.2
819,0,Permanece,4.71
820,0,Permanece,42.41
821,0,Permanece,46.61
822,0,Permanece,12.11
823,1,Precio,78.14
824,1,Fusión empresarial,87.3
825,0,Permanece,52.72
826,0,Permanece,36.9
827,0,Permanece,16.7
828,0,Permanece,31.38
829,0,Permanece,35.94
830,1,Competencia,77.31
831,0,Permanece,10.43
832,1,Calidad de servicio,80.32
833,0,Permanece,6.18
834,0,Permanece,59.93
835,0,Permanece,17.86
836,0,Permanece,54.13
837,0,Permanece,11.41
838,0,Permanece,59.05
839,1,Precio,86.05
840,0,Permanece,1.62
841,0,Permanece,10.31
842,0,Permanece,26.67
843,0,Permanece,31.18
844,0,Permanece,20.92
845,1,Fusión empresarial,98.26
846,0,Permanece,39.45
847,0,Permanece,10.12
848,0,Permanece,41.02
849,0,Permanece,54.18
850,0,Permanece,3.07
851,0,Permanece,30.37
852,0,Permanece,14.41
853,0,Permanece,28.47
854,0,Permanece,31.13
855,1,Cambio tecnológico,71.65
856,0,Permanece,30.34
857,0,Permanece,0.92
858,0,Permanece,20.03
859,0,Permanece,52.61
860,1,Calidad de servicio,71.08
861,0,Permanece,27.52
862,1,Calidad de servicio,71.58
863,0,Permanece,42.2
864,0,Permanece,9.57
865,0,Permanece,9.01
866,0,Permanece,23.79
867,0,Permanece,34.37
868,0,Permanece,24.58
869,1,Precio,75.42
870,0,Permanece,12.67
871,0,Permanece,59.86
872,0,Permanece,17.3
873,0,Permanece,19.92
874,0,Permanece,12.27
875,0,Permanece,13.19
876,0,Permanece,47.39
877,0,Permanece,14.46
878,0,Permanece,44.4
879,0,Permanece,20.29
880,0,Permanece,58.83
881,0,Permanece,9.14
882,0,Permanece,6.61
883,0,Permanece,16.03
884,0,Permanece,3.12
885,0,Permanece,57.97
886,0,Permanece,25.26
887,1,Competencia,78.49
888,0,Permanece,9.18
889,0,Permanece,7.03
890,0,Permanece,54.52
891,0,Permanece,42.21
892,0,Permanece,50.42
893,0,Permanece,45.49
894,0,Permanece,9.89
895,0,Permanece,25.79
896,0,Permanece,57.55
897,0,Permanece,37.42
898,1,Fusión empresarial,91.21
899,0,Permanece,30.64
900,0,Permanece,28.14
901,1,Cambio tecnológico,83.18
902,0,Permanece,8.81
903,0,Permanece,46.88
904,0,Permanece,38.93
905,1,Cambio tecnológico,83.3
906,0,Permanece,43.13
907,0,Permanece,53.35
908,1,Calidad de servicio,93.0
909,0,Permanece,3.08
910,1,Precio,94.92
911,0,Permanece,12.44
912,0,Permanece,22.67
913,0,Permanece,34.62
914,0,Permanece,43.68
915,1,Precio,99.72
916,0,Permanece,23.81
917,1,Fusión empresarial,82.22
918,0,Permanece,38.25
919,0,Permanece,54.83
920,0,Permanece,59.58
921,0,Permanece,1.48
922,0,Permanece,38.8
923,0,Permanece,25.93
924,0,Permanece,37.55
925,0,Permanece,10.35
926,0,Permanece,14.38
927,0,Permanece,45.56
928,0,Permanece,57.3
929,1,Cambio tecnológico,95.47
930,0,Permanece,39.92
931,0,Permanece,58.34
932,0,Permanece,34.47
933,0,Permanece,58.23
934,0,Permanece,45.69
935,0,Permanece,19.41
936,0,Permanece,31.72
937,0,Permanece,32.62
938,0,Permanece,39.74
939,0,Permanece,35.43
940,0,Permanece,43.84
941,0,Permanece,11.64
942,0,Permanece,11.64
943,0,Permanece,11.01
944,0,Permanece,12.07
945,0,Permanece,48.02
946,0,Permanece,14.41
947,0,Permanece,11.65
948,0,Permanece,55.71
949,0,Permanece,11.88
950,0,Permanece,15.04
951,0,Permanece,49.21
952,0,Permanece,17.2
953,1,Precio,75.77
954,0,Permanece,58.84
955,1,Calidad de servicio,94.77
956,0,Permanece,44.81
957,0,Permanece,17.5
958,0,Permanece,26.81
959,0,Permanece,4.88
960,0,Permanece,11.4
961,0,Permanece,50.76
962,0,Permanece,47.26
963,0,Permanece,42.28
964,0,Permanece,38.49
965,0,Permanece,49.5
966,0,Permanece,24.84
967,0,Permanece,14.38
968,0,Permanece,24.6
969,0,Permanece,54.52
970,0,Permanece,14.78
971,0,Permanece,6.2
972,0,Permanece,12.43
973,0,Permanece,1.9
974,0,Permanece,17.72
975,0,Permanece,2.07
976,0,Permanece,31.0
977,0,Permanece,59.17
978,0,Permanece,34.38
979,0,Permanece,27.69
980,0,Permanece,32.54
981,0,Permanece,52.98
982,0,Permanece,57.64
983,0,Permanece,52.21
984,0,Permanece,53.22
985,0,Permanece,0.52
986,0,Permanece,0.87
987,0,Permanece,44.49
988,0,Permanece,48.37
989,1,Precio,93.69
990,0,Permanece,41.51
991,0,Permanece,51.33
992,0,Permanece,27.89
993,0,Permanece,8.57
994,0,Permanece,17.85
995,0,Permanece,28.66
996,0,Permanece,2.55
997,0,Permanece,7.07
998,0,Permanece,32.44
999,0,Permanece,29.41
1000,0,Permanece,59.13
1001,0,Permanece,35.36
1002,0,Permanece,2.09
1003,0,Permanece,41.67
1004,0,Permanece,30.08
1005,0,Permanece,7.7
1006,0,Permanece,55.38
1007,0,Permanece,51.11
1008,0,Permanece,40.46
1009,0,Permanece,56.54
1010,0,Permanece,54.77
1011,0,Permanece,28.63
1012,0,Permanece,9.28
1013,0,Permanece,44.58
1014,0,Permanece,58.26
1015,0,Permanece,59.76
1016,1,Fusión empresarial,94.58
1017,0,Permanece,8.58
1018,0,Permanece,57.81
1019,0,Permanece,43.67
1020,0,Permanece,6.56
1021,0,Permanece,12.81
1022,1,Fusión empresarial,77.93
1023,0,Permanece,28.19
1024,0,Permanece,7.12
1025,0,Permanece,8.89
1026,1,Competencia,92.13
1027,0,Permanece,11.43
1028,0,Permanece,1.08
1029,0,Permanece,9.8
1030,1,Fusión empresarial,89.14
1031,0,Permanece,52.36
1032,0,Permanece,32.15
1033,0,Permanece,24.23
1034,0,Permanece,31.96
1035,0,Permanece,36.56
1036,0,Permanece,20.69
1037,0,Permanece,59.72
1038,0,Permanece,38.65
